team,fci,league,stadium,capacity
Anaheim Ducks,288.88,NHL,Honda Center,17174
Arizona Cardinals,436.09,NFL,University of Phoenix Stadium,63400
Arizona Coyotes,310.71,NHL,Jobing.com Arena,17125
Arizona Diamondbacks,126.89,MLB,Chase Field,48633
Atlanta Braves,171.62,MLB,Turner Field,49586
Atlanta Falcons,437.33,NFL,Georgia Dome,71228
Atlanta Hawks,245.39,NBA,Philips Arena,18118
Baltimore Orioles,173.39,MLB,Oriole Park at Camden Yards,45971
Baltimore Ravens,547.26,NFL,M&T Bank Stadium,71008
Boston Bruins,509.8,NHL,TD Garden,17565
Boston Celtics,444.16,NBA,TD Garden,18624
Boston Red Sox,350.78,MLB,Fenway Park,37499
Brooklyn Nets,404.6,NBA,Barclays Center,17732
Buffalo Bills,383.05,NFL,Ralph Wilson Stadium,73079
Buffalo Sabres,290.9,NHL,First Niagara Center,19070
Calgary Flames,352.12,NHL,Scotiabank Saddledome,19289
Carolina Hurricanes,341.17,NHL,PNC Arena,18680
Carolina Panthers,404.78,NFL,Bank of America Stadium,73778
Charlotte Hornets,212.4,NBA,Time Warner Cable Arena,19077
Chicago Bears,596.76,NFL,Soldier Field,61500
Chicago Blackhawks,463.2,NHL,United Center,19717
Chicago Bulls,477.32,NBA,United Center,20917
Chicago Cubs,304.64,MLB,Wrigley Field,41072
Chicago White Sox,210.18,MLB,U.S. Cellular Field,40615
Cincinnati Bengals,411.04,NFL,Paul Brown Stadium,65535
Cincinnati Reds,168.12,MLB,Great American Ball Park,42319
Cleveland Browns,348.8,NFL,FirstEnergy Stadium,73200
Cleveland Cavaliers,271.74,NBA,Quicken Loans Arena,20562
Cleveland Indians,162.24,MLB,Progressive Field,42487
Colorado Avalanche,295.64,NHL,Pepsi Center,18007
Colorado Rockies,201.6,MLB,Coors Field,50398
Columbus Blue Jackets,288.62,NHL,Nationwide Arena,18144
Dallas Cowboys,634.8,NFL,AT&T Stadium,80000
Dallas Mavericks,312.2,NBA,American Airlines Center,19200
Dallas Stars,263.11,NHL,American Airlines Center,18532
Denver Broncos,482.22,NFL,Sports Authority Field at Mile High,76125
Denver Nuggets,322.5,NBA,Pepsi Center,19155
Detroit Lions,411.94,NFL,Ford Field,65000
Detroit Pistons,261.2,NBA,The Palace of Auburn Hills,22076
Detroit Red Wings,307.54,NHL,Joe Louis Arena,20066
Detroit Tigers,219.88,MLB,Comerica Park,41681
Edmonton Oilers,393.75,NHL,Rexall Place,16839
Florida Panthers,255.55,NHL,BB&T Center,19250
Golden State Warriors,336.52,NBA,Oracle Arena,19596
Green Bay Packers,486.82,NFL,Lambeau Field,80978
Houston Astros,215.9,MLB,Minute Maid Park,42060
Houston Rockets,369.86,NBA,Toyota Center,18023
Houston Texans,491.11,NFL,NRG Stadium,71054
Indiana Pacers,232.44,NBA,Bankers Life Fieldhouse,18165
Indianapolis Colts,458.27,NFL,Lucas Oil Stadium,62421
Jacksonville Jaguars,345.58,NFL,EverBank Field,67246
Kansas City Chiefs,419.5,NFL,Arrowhead Stadium,76416
Kansas City Royals,191.91,MLB,Kauffman Stadium,37903
Los Angeles Angels of Anaheim,195.6,MLB,Angel Stadium of Anaheim,45483
Los Angeles Clippers,435.72,NBA,Staples Center,19060
Los Angeles Dodgers,217.69,MLB,Dodger Stadium,56000
Los Angeles Kings,384.99,NHL,Staples Center,18118
Los Angeles Lakers,541,NBA,Staples Center,18997
Memphis Grizzlies,223.92,NBA,FedExForum,18119
Miami Dolphins,398.12,NFL,Sun Life Stadium,75540
Miami Heat,468.2,NBA,American Airlines Arena,19600
Miami Marlins,221.02,MLB,Marlins Park,36742
Milwaukee Brewers,176.84,MLB,Miller Park,41900
Milwaukee Bucks,325.85,NBA,BMO Harris Bradley Center,18717
Minnesota Timberwolves,281.06,NBA,Target Center,19356
Minnesota Twins,215.36,MLB,Target Field,39021
Minnesota Vikings,490.62,NFL,TCF Bank Stadium,50805
Minnesota Wild,383.25,NHL,Xcel Energy Center,17954
Montreal Canadiens,410.04,NHL,Bell Centre,21273
Nashville Predators,343.14,NHL,Bridgestone Arena,17113
New England Patriots,624.7,NFL,Gillette Stadium,68756
