"team","fci","league","stadium","yearOpened","capacity"
"Arizona Cardinals",436.09,"NFL","University of Phoenix Stadium",2006,63400
"Atlanta Falcons",438.33,"NFL","Georgia Dome",1992,71228
"Baltimore Ravens",538.66,"NFL","M&T Bank Stadium",1998,71008
"Buffalo Bills",391.04,"NFL","Ralph Wilson Stadium",1973,73079
"Carolina Panthers",415.24,"NFL","Bank of America Stadium",1996,73778
"Chicago Bears",601.2,"NFL","Soldier Field",1924,61500
"Cincinnati Bengals",398.47,"NFL","Paul Brown Stadium",2000,65535
"Cleveland Browns",401.52,"NFL","FirstEnergy Stadium",1999,73200
"Dallas Cowboys",634.8,"NFL","AT&T Stadium",2009,80000
"Denver Broncos",482.22,"NFL","Sports Authority Field at Mile High",2001,76125
"Detroit Lions",437.63,"NFL","Ford Field",2002,65000
"Green Bay Packers",495.87,"NFL","Lambeau Field",1957,80978
"Houston Texans",491.11,"NFL","NRG Stadium",2002,71054
"Indianapolis Colts",462.75,"NFL","Lucas Oil Stadium",2008,62421
"Jacksonville Jaguars",347.6,"NFL","EverBank Field",1995,67246
"Kansas City Chiefs",396.02,"NFL","Arrowhead Stadium",1972,76416
"Miami Dolphins",398.12,"NFL","Sun Life Stadium",1987,75540
"Minnesota Vikings",474.86,"NFL","TCF Bank Stadium",2009,50805
"New England Patriots",624.7,"NFL","Gillette Stadium",2002,68756
"New Orleans Saints",507.49,"NFL","Mercedes-Benz Superdome",1975,73208
"New York Giants",629.62,"NFL","MetLife Stadium",2010,82566
"New York Jets",553.63,"NFL","MetLife Stadium",2010,82566
"Oakland Raiders",420.7,"NFL","O.co Coliseum",1966,53200
"Philadelphia Eagles",530.76,"NFL","Lincoln Financial Field",2003,68532
"Pittsburgh Steelers",481.78,"NFL","Heinz Field",2001,65050
"San Diego Chargers",478.19,"NFL","Qualcomm Stadium",1967,70561
"San Francisco 49ers",640,"NFL","Levi's Stadium",2014,68983
"Seattle Seahawks",472.4,"NFL","CenturyLink Field",2002,67000
"St. Louis Rams",431.85,"NFL","Edward Jones Dome",1995,66000
"Tampa Bay Buccaneers",373.76,"NFL","Raymond James Stadium",1998,65890
"Tennessee Titans",404.58,"NFL","LP Field",1999,69143
"Washington Redskins",597.51,"NFL","FedExField",1997,79000
"Arizona Diamondbacks",126.89,"MLB","Chase Field",1998,48633
"Atlanta Braves",174.06,"MLB","Turner Field",1996,49586
"Baltimore Orioles",163.39,"MLB","Oriole Park at Camden Yards",1992,45971
"Boston Red Sox",350.86,"MLB","Fenway Park",1912,37499
"Chicago Cubs",300.73,"MLB","Wrigley Field",1914,41072
"Chicago White Sox",208.18,"MLB","U.S. Cellular Field",1991,40615
"Cincinnati Reds",166.62,"MLB","Great American Ball Park",2003,42319
"Cleveland Indians",166.52,"MLB","Progressive Field",1994,42487
"Colorado Rockies",196.6,"MLB","Coors Field",1995,50398
"Detroit Tigers",213.03,"MLB","Comerica Park",2000,41681
"Houston Astros",220.28,"MLB","Minute Maid Park",2000,42060
"Kansas City Royals",212.04,"MLB","Kauffman Stadium",1973,37903
"Los Angeles Angels of Anaheim",190.16,"MLB","Angel Stadium of Anaheim",1966,45483
"Los Angeles Dodgers",218.94,"MLB","Dodger Stadium",1962,56000
"Miami Marlins",224.83,"MLB","Marlins Park",2012,36742
"Milwaukee Brewers",182.28,"MLB","Miller Park",2001,41900
"Minnesota Twins",229.36,"MLB","Target Field",2010,39021
"New York Mets",219.68,"MLB","Citi Field",2009,41922
"New York Yankees",337.2,"MLB","Yankee Stadium",2009,49642
"Oakland Athletics",195,"MLB","O.co Coliseum",1966,35067
"Philadelphia Phillies",252.18,"MLB","Citizens Bank Park",2004,43651
"Pittsburgh Pirates",175.95,"MLB","PNC Park",2001,38362
"San Diego Padres",153.45,"MLB","Petco Park",2004,42302
"San Francisco Giants",241.13,"MLB","AT&T Park",2000,41503
"Seattle Mariners",212,"MLB","Safeco Field",1999,47476
"St. Louis Cardinals",236.81,"MLB","Busch Stadium",2006,43975
"Tampa Bay Rays",157.6,"MLB","Tropicana Field",1990,31042
"Texas Rangers",190.54,"MLB","Globe Life Park in Arlington",1994,48114
"Toronto Blue Jays",208.28,"MLB","Rogers Centre",1989,49282
"Washington Nationals",232.08,"MLB","Nationals Park",2008,41418
"Anaheim Ducks",288.88,"NHL","Honda Center",1993,17174
"Arizona Coyotes",310.71,"NHL","Jobing.com Arena",2003,17125
"Boston Bruins",509.8,"NHL","TD Garden",1995,17565
"Buffalo Sabres",290.9,"NHL","First Niagara Center",1996,19070
"Calgary Flames",352.12,"NHL","Scotiabank Saddledome",1983,19289
"Carolina Hurricanes",341.17,"NHL","PNC Arena",1999,18680
"Chicago Blackhawks",463.2,"NHL","United Center",1994,19717
"Colorado Avalanche",295.64,"NHL","Pepsi Center",1999,18007
"Columbus Blue Jackets",288.62,"NHL","Nationwide Arena",2000,18144
"Dallas Stars",263.11,"NHL","American Airlines Center",2001,18532
"Detroit Red Wings",307.54,"NHL","Joe Louis Arena",1979,20066
"Edmonton Oilers",393.75,"NHL","Rexall Place",1974,16839
"Florida Panthers",255.55,"NHL","BB&T Center",1998,19250
"Los Angeles Kings",384.99,"NHL","Staples Center",1999,18118
"Minnesota Wild",383.25,"NHL","Xcel Energy Center",2000,17954
"Montreal Canadiens",410.04,"NHL","Bell Centre",1996,21273
"Nashville Predators",343.14,"NHL","Bridgestone Arena",1996,17113
"New Jersey Devils",313.85,"NHL","Prudential Center",2007,17625
"New York Islanders",299.59,"NHL","Barclays Center",2012,15795
"New York Rangers",479.48,"NHL","Madison Square Garden",1968,18006
"Ottawa Senators",296.19,"NHL","Canadian Tire Centre",1996,19153
"Philadelphia Flyers",386.11,"NHL","Wells Fargo Center",1996,19537
"Pittsburgh Penguins",390.84,"NHL","Consol Energy Center",2010,18387
