location,COL,liveability
"Anaheim, California",118,77
"Arlington, Texas",89,80
"Atlanta, Georgia",94,77
"Auburn Hills, Michigan",85,75
"Baltimore, Maryland",87,75
"Boston, Massachusetts",126,75
"Brooklyn, New York City, New York",146,77
"Buffalo, New York",78,67
"Calgary, Alberta",140,NA
"Charlotte, North Carolina",89,81
"Chicago, Illinois",104,72
"Cincinnati, Ohio",79,74
"Cleveland, Ohio",83,67
"Columbus, Ohio",84,81
"Dallas, Texas",90,78
"Denver, Colorado",97,78
"Detroit, Michigan",79,62
"East Rutherford, New Jersey",121,84
"Edmonton, Alberta",103,NA
"Foxborough, Massachusetts",116,77
"Glendale, Arizona",87,76
"Green Bay, Wisconsin",84,76
"Houston, Texas",83,78
"Indianapolis, Indiana",83,73
"Jacksonville, Florida",93,81
"Kansas City, Missouri",89,73
"Landover, Maryland",97,68
"Los Angeles, California",119,79
"Manhattan, New York City, New York",146,77
"Memphis, Tennessee",78,72
"Miami Gardens, Florida",95,76
"Miami, Florida",99,73
"Milwaukee, Wisconsin",87,71
"Minneapolis, Minnesota",97,74
"Montreal, Quebec",100,NA
"Nashville, Tennessee",86,78
"New Orleans, Louisiana",90,80
"Newark, New Jersey",108,71
"Oakland, California",119,71
"Oklahoma City, Oklahoma",80,77
"Orchard Park, New York",90,85
"Orlando, Florida",91,78
"Ottawa, Ontario",98,NA
"Philadelphia, Pennsylvania",98,73
"Phoenix, Arizona",88,79
"Pittsburgh, Pennsylvania",83,76
"Portland, Oregon",106,76
"Queens, New York City, New York",146,77
"Raleigh, North Carolina",93,80
"Sacramento, California",103,77
"Saint Paul, Minnesota",95,75
"Salt Lake City, Utah",91,74
"San Antonio, Texas",83,77
"San Diego, California",119,81
"San Francisco, California",144,76
"San Jose, California",134,80
"Santa Clara, California",138,83
"Seattle, Washington",118,76
"St. Louis, Missouri",86,72
"St. Petersburg, Florida",89,79
"Sunrise, Florida",95,80
"Tampa, Florida",91,81
"The Bronx, New York City, New York",146,77
"Toronto, Ontario",99,NA
"Toronto, Ontario",99,NA
"Uniondale, New York",137,76
"Vancouver, British Columbia",118,NA
"Washington, D.C.",113,76
"Winnipeg, Manitoba",98,NA
