team,established,stadium,location,lat,lon,capacity,playingSurface ,yearOpened ,roof
Anaheim Ducks,1993,Honda Center,"Anaheim, California",33.808151,-117.876544,17174,,1993,
Arizona Cardinals,1988,University of Phoenix Stadium,"Glendale, Arizona",33.527625,-112.262559,63400,419 Tifway Bermuda Grass ,2006,Retractable 
Arizona Coyotes,1996,Jobing.com Arena,"Glendale, Arizona",33.531929,-112.261222,17125,,2003,
Arizona Diamondbacks,1998,Chase Field,"Phoenix, Arizona",33.479866,-112.03456,48633,Grass ,1998,Retractable 
Atlanta Braves,1966,Turner Field,"Atlanta, Georgia",33.734808,-84.389973,49586,Grass ,1996,Open 
Atlanta Falcons,1966,Georgia Dome,"Atlanta, Georgia",33.75769,-84.400828,71228,FieldTurf ,1992,Domed 
Atlanta Hawks,1968,Philips Arena,"Atlanta, Georgia",33.75633,-84.397759,18118,,1999,
Baltimore Orioles,1954,Oriole Park at Camden Yards,"Baltimore, Maryland",39.283218,-76.622038,45971,Grass ,1992,Open 
Baltimore Ravens,1996,M&T Bank Stadium,"Baltimore, Maryland",39.277988,-76.622704,71008,Sportexe Momentum Turf ,1998,Open 
Boston Bruins,1924,TD Garden,"Boston, Massachusetts",42.366443,-71.062147,17565,,1995,
Boston Celtics,1946,TD Garden,"Boston, Massachusetts",42.366443,-71.062147,18624,,1995,
Boston Red Sox,1901,Fenway Park,"Boston, Massachusetts",42.346676,-71.097218,37499,Grass ,1912,Open 
Brooklyn Nets,1967,Barclays Center,"Brooklyn, New York City, New York",40.683666,-73.97881,17732,,2012,
Buffalo Bills,1960,Ralph Wilson Stadium,"Orchard Park, New York",42.773698,-78.786948,73079,A-Turf Titan ,1973,Open 
Buffalo Sabres,1970,First Niagara Center,"Buffalo, New York",42.8838,-78.8742,19070,,1996,
Calgary Flames,1980,Scotiabank Saddledome,"Calgary, Alberta",51.037434,-114.051934,19289,,1983,
Carolina Hurricanes,1997,PNC Arena,"Raleigh, North Carolina",35.803444,-78.721877,18680,,1999,
Carolina Panthers,1995,Bank of America Stadium,"Charlotte, North Carolina",35.22563,-80.85274,73778,Grass ,1996,Open 
Charlotte Hornets,2004,Time Warner Cable Arena,"Charlotte, North Carolina",35.227087,-80.843127,19077,,2005,
Chicago Bears,1921,Soldier Field,"Chicago, Illinois",41.862313,-87.616688,61500,Grass ,1924,Open 
Chicago Blackhawks,1926,United Center,"Chicago, Illinois",41.880691,-87.674176,19717,,1994,
Chicago Bulls,1966,United Center,"Chicago, Illinois",41.880691,-87.674176,20917,,1994,
Chicago Cubs,1874,Wrigley Field,"Chicago, Illinois",41.948438,-87.655333,41072,Grass ,1914,Open 
Chicago White Sox,1900,U.S. Cellular Field,"Chicago, Illinois",41.830113,-87.633577,40615,Grass ,1991,Open 
Cincinnati Bengals,1968,Paul Brown Stadium,"Cincinnati, Ohio",39.096161,-84.516551,65535,UBU-Intensity Series- S5-M Synthetic Turf ,2000,Open 
Cincinnati Reds,1882,Great American Ball Park,"Cincinnati, Ohio",39.097931,-84.508151,42319,Grass ,2003,Open 
Cleveland Browns,1946,FirstEnergy Stadium,"Cleveland, Ohio",41.506054,-81.699548,73200,Kentucky Bluegrass ,1999,Open 
Cleveland Cavaliers,1970,Quicken Loans Arena,"Cleveland, Ohio",41.496326,-81.689357,20562,,1994,
Cleveland Indians,1900,Progressive Field,"Cleveland, Ohio",41.496211,-81.685229,42487,Grass ,1994,
Colorado Avalanche,1995,Pepsi Center,"Denver, Colorado",39.748568,-105.009966,18007,,1999,
Colorado Rockies,1993,Coors Field,"Denver, Colorado",39.755882,-104.994178,50398,Grass ,1995,Open 
Columbus Blue Jackets,2000,Nationwide Arena,"Columbus, Ohio",39.967954,-83.010707,18144,,2000,
Dallas Cowboys,1960,AT&T Stadium,"Arlington, Texas",32.747284,-97.094494,80000,Matrix RealGrass artificial turf,2009,Retractable 
Dallas Mavericks,1980,American Airlines Center,"Dallas, Texas",32.790689,-96.810392,19200,,2001,
Dallas Stars,1993,American Airlines Center,"Dallas, Texas",32.790689,-96.810392,18532,,2001,
Denver Broncos,1960,Sports Authority Field at Mile High,"Denver, Colorado",39.743948,-105.020084,76125,Desso GrassMaster ,2001,Open 
Denver Nuggets,1967,Pepsi Center,"Denver, Colorado",39.748568,-105.009966,19155,,1999,
Detroit Lions,1934,Ford Field,"Detroit, Michigan",42.340006,-83.045603,65000,FieldTurf ,2002,Domed 
Detroit Pistons,1957,The Palace of Auburn Hills,"Auburn Hills, Michigan",42.696885,-83.245793,22076,,1988,
Detroit Red Wings,1926,Joe Louis Arena,"Detroit, Michigan",42.32519,-83.051362,20066,,1979,
Detroit Tigers,1901,Comerica Park,"Detroit, Michigan",42.338998,-83.04852,41681,Grass ,2000,Open 
Edmonton Oilers,1972,Rexall Place,"Edmonton, Alberta",53.522419,-113.524405,16839,,1974,
Florida Panthers,1993,BB&T Center,"Sunrise, Florida",26.158691,-80.325321,19250,,1998,
Golden State Warriors,1962,Oracle Arena,"Oakland, California",37.751824,-122.200557,19596,,1966,
Green Bay Packers,1921,Lambeau Field,"Green Bay, Wisconsin",44.501341,-88.062208,80978,Desso GrassMaster ,1957,Open 
Houston Astros,1962,Minute Maid Park,"Houston, Texas",29.757268,-95.355519,42060,Grass ,2000,Retractable 
Houston Rockets,1971,Toyota Center,"Houston, Texas",29.75104,-95.362009,18023,,2003,
Houston Texans,2002,NRG Stadium,"Houston, Texas",29.684722,-95.410707,71054,419 Tifway Bermuda Grass ,2002,Retractable 
Indiana Pacers,1967,Bankers Life Fieldhouse,"Indianapolis, Indiana",39.763896,-86.155781,18165,,1999,
Indianapolis Colts,1984,Lucas Oil Stadium,"Indianapolis, Indiana",39.760101,-86.163888,62421,FieldTurf ,2008,Retractable 
Jacksonville Jaguars,1995,EverBank Field,"Jacksonville, Florida",30.324662,-81.637074,67246,419 Tifway Bermuda Grass ,1995,Open 
Kansas City Chiefs,1963,Arrowhead Stadium,"Kansas City, Missouri",39.048939,-94.483916,76416,Grass ,1972,Open 
Kansas City Royals,1969,Kauffman Stadium,"Kansas City, Missouri",39.051105,-94.481087,37903,Grass ,1973,Open 
Los Angeles Angels of Anaheim,1961,Angel Stadium of Anaheim,"Anaheim, California",33.800308,-117.882732,45483,Grass ,1966,Open 
Los Angeles Clippers,1984,Staples Center,"Los Angeles, California",34.042435,-118.266586,19060,,1999,
Los Angeles Dodgers,1958,Dodger Stadium,"Los Angeles, California",34.072736,-118.240616,56000,Grass ,1962,Open 
