team,avgTicket,pctChange,avgPremTicket,cheapestTicket,beer,softDrink,hotDog,parking,program,cap,fci,fciPctChange,league,year
Atlanta Hawks,35.26,1.50%,,10,7.5,4.5,5,10,0,18,240.04,3.00%,NBA,2013
Boston Celtics,72.64,-0.40%,,10,8.25,5.5,5.5,38,5,17.95,434.96,3.40%,NBA,2013
Brooklyn Nets,60.5,12.30%,,10,8.5,5,6,17,5,28,382,4.60%,NBA,2013
Charlotte Hornets,29.27,0.00%,,10,6.5,4.5,4.5,5,0,15.99,203.06,0.00%,NBA,2013
Chicago Bulls,77.65,8.00%,,10,7.5,5.5,6,25,5,25,456.6,7.00%,NBA,2013
Cleveland Cavaliers,43.31,-8.10%,,10,7.25,3.5,3.5,10,3,20,271.74,-5.50%,NBA,2013
Dallas Mavericks,51.8,-4.00%,,10.2,6,4,4,20,5,19.99,321.18,0.00%,NBA,2013
Denver Nuggets,53.15,-2.00%,,10,6.75,4.5,4.75,10,5,18,319.1,-2.20%,NBA,2013
Detroit Pistons,40.1,0.00%,,10,9,4,4,10,5,16,262.4,3.10%,NBA,2013
Golden State Warriors,44.27,24.00%,,10,7,5,6,25,5,25,324.08,24.30%,NBA,2013
Houston Rockets,57.15,25.20%,,11,7.25,4.25,6,15,0,18.48,336.06,12.30%,NBA,2013
Indiana Pacers,31.62,0.00%,,5,7.25,4.5,5.25,10,0,18.69,227.36,6.80%,NBA,2013
Los Angeles Clippers,65.55,3.90%,,10,8.5,5.25,6,25,5,18,395.2,7.00%,NBA,2013
Los Angeles Lakers,102.25,2.00%,,10,8.5,5.25,6,25,5,18,542,4.60%,NBA,2013
Memphis Grizzlies,30.04,1.90%,,5,7.5,4,4,15,0,15,212.16,-0.80%,NBA,2013
Miami Heat,78.3,8.00%,,10,8,5,7,35,15,15,472.2,6.10%,NBA,2013
Milwaukee Bucks,47.7,-2.10%,,10,6.25,4.75,4.75,18,5,20,309.3,-1.40%,NBA,2013
Minnesota Timberwolves,35.5,2.00%,,4,9.5,5,5,15,5,23.99,273.98,4.90%,NBA,2013
New Orleans Pelicans,26.87,-10.00%,,10,7,4,4,15,0,20,208.48,-5.40%,NBA,2013
New York Knicks,129.38,5.00%,,10,8.75,5,6,30,6,23.95,659.92,3.90%,NBA,2013
Oklahoma City Thunder,51.35,8.90%,,10,5,3,3.5,10,0,22,295.4,6.00%,NBA,2013
Orlando Magic,39.4,-4.30%,,10,5.75,4.25,4.25,10,5,20,263.1,-0.80%,NBA,2013
Philadelphia 76ers,39.25,0.00%,,10,8.25,3.75,5,12,5,17.95,266.4,2.30%,NBA,2013
Phoenix Suns,57.23,-0.10%,,10,9,4.5,5.5,12,0,23,344.92,3.50%,NBA,2013
Portland Trail Blazers,51.3,6.00%,,10,7,5,6,13,0,15.99,308.18,-3.90%,NBA,2013
Sacramento Kings,43.32,0.00%,,10,7,4.75,4,10,0,18,268.28,0.00%,NBA,2013
San Antonio Spurs,57.25,-2.10%,,11,5,3.25,3,15,0,30,339,2.50%,NBA,2013
Toronto Raptors,48.7,9.30%,,9.38,6.98,3.85,5.2,19.19,4.8,23.98,321.63,0.10%,NBA,2013
Utah Jazz,44.5,2.30%,,10,7.5,3.5,3.5,10,5,19.99,280.98,1.40%,NBA,2013
Washington Wizards,30.31,-6.00%,,10,8,5,5.5,20,0,19.99,249.22,0.90%,NBA,2013
Arizona Cardinals,79.56,17.00%,258.2,,6,3.5,3.5,10,3,20,414.23,12.60%,NFL,2013
