team,fci,league,year,stadium,yearOpened,location,COL,liveability
Los Angeles Angels of Anaheim,195.6,MLB,2014,Angel Stadium of Anaheim,1966,"Anaheim, California",118,77
Anaheim Ducks,284.96,NHL,2013,Honda Center,1993,"Anaheim, California",118,77
Texas Rangers,203.14,MLB,2014,Globe Life Park in Arlington,1994,"Arlington, Texas",89,80
Dallas Cowboys,634.8,NFL,2014,AT&T Stadium,2009,"Arlington, Texas",89,80
Atlanta Braves,171.62,MLB,2014,Turner Field,1996,"Atlanta, Georgia",94,77
Atlanta Hawks,240.04,NBA,2013,Philips Arena,1999,"Atlanta, Georgia",94,77
Atlanta Falcons,437.33,NFL,2014,Georgia Dome,1992,"Atlanta, Georgia",94,77
Detroit Pistons,262.4,NBA,2013,The Palace of Auburn Hills,1988,"Auburn Hills, Michigan",85,75
Baltimore Orioles,173.39,MLB,2014,Oriole Park at Camden Yards,1992,"Baltimore, Maryland",87,75
Baltimore Ravens,547.26,NFL,2014,M&T Bank Stadium,1998,"Baltimore, Maryland",87,75
Boston Red Sox,350.78,MLB,2014,Fenway Park,1912,"Boston, Massachusetts",126,75
Boston Celtics,434.96,NBA,2013,TD Garden,1995,"Boston, Massachusetts",126,75
Boston Bruins,444.13,NHL,2013,TD Garden,1995,"Boston, Massachusetts",126,75
Brooklyn Nets,382,NBA,2013,Barclays Center,2012,"Brooklyn, New York City, New York",146,77
Buffalo Sabres,293.76,NHL,2013,First Niagara Center,1996,"Buffalo, New York",78,67
Calgary Flames,366.85,NHL,2013,Scotiabank Saddledome,1983,"Calgary, Alberta",140,
Charlotte Hornets,203.06,NBA,2013,Time Warner Cable Arena,2005,"Charlotte, North Carolina",89,81
Carolina Panthers,404.78,NFL,2014,Bank of America Stadium,1996,"Charlotte, North Carolina",89,81
Chicago Cubs,304.64,MLB,2014,Wrigley Field,1914,"Chicago, Illinois",104,72
Chicago White Sox,210.18,MLB,2014,U.S. Cellular Field,1991,"Chicago, Illinois",104,72
Chicago Bulls,456.6,NBA,2013,United Center,1994,"Chicago, Illinois",104,72
Chicago Bears,596.76,NFL,2014,Soldier Field,1924,"Chicago, Illinois",104,72
Chicago Blackhawks,437.8,NHL,2013,United Center,1994,"Chicago, Illinois",104,72
Cincinnati Reds,168.12,MLB,2014,Great American Ball Park,2003,"Cincinnati, Ohio",79,74
Cincinnati Bengals,411.04,NFL,2014,Paul Brown Stadium,2000,"Cincinnati, Ohio",79,74
Cleveland Indians,162.24,MLB,2014,Progressive Field,1994,"Cleveland, Ohio",83,67
Cleveland Cavaliers,271.74,NBA,2013,Quicken Loans Arena,1994,"Cleveland, Ohio",83,67
Cleveland Browns,348.8,NFL,2014,FirstEnergy Stadium,1999,"Cleveland, Ohio",83,67
Columbus Blue Jackets,281.24,NHL,2013,Nationwide Arena,2000,"Columbus, Ohio",84,81
Dallas Mavericks,321.18,NBA,2013,American Airlines Center,2001,"Dallas, Texas",90,78
Dallas Stars,263.11,NHL,2013,American Airlines Center,2001,"Dallas, Texas",90,78
Colorado Rockies,201.6,MLB,2014,Coors Field,1995,"Denver, Colorado",97,78
