title,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read,bookshelf
"""13 1/2""","Barr, Nevada",3,3.3,Vanguard Press,Hardcover,320,2009,May,2011,read
A Civil War: Army vs. Navy - A Year Inside College Football's Purest Rivalry,"Feinstein, John",4,4.23,Back Bay Books,Hardcover,464,2014,September,2014,read
"A Clash of Kings  (A Song of Ice and Fire, #2)","Martin, George R.R.",5,4.39,Bantam,Paperback,778,1998,August,2015,read
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4,4.06,Bantam,Paperback,1060,2006,November,2015,read
A Game of Thrones (A Song of Ice and Fire #1),"Martin, George R.R.",5,4.43,Harper Voyager,Paperback,801,1996,June,2015,read
A March to Madness: The View from the Floor in the Atlantic Coast Conference,"Feinstein, John",3,4.03,Back Bay Books,Hardcover,464,1998,December,2010,read
A Passion to Win,"Nanne, Lou",3,3.2,Triumph Books,Hardcover,256,2010,November,2013,read
A Question of Attraction,"Nicholls, David",5,3.57,Villard,Hardcover,352,2003,July,2012,read
A Spot of Bother,"Haddon, Mark",4,3.45,Doubleday,Hardcover,354,2006,June,2015,read
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,5,4.54,Bantam,Paperback,1177,2003,September,2015,read
"A Stroke of Midnight (Merry Gentry, #4)","Hamilton, Laurell K.",3,4.05,Ballantine Books,Hardcover,366,2005,August,2015,read
Abraham Lincoln: Vampire Hunter,"Grahame-Smith, Seth",,3.69,Grand Central Publishing,Hardcover,336,2010,December,2012,quit-reading
Academic Duty,"Kennedy, Donald",5,3.74,Harvard University Press,Hardcover,310,1997,July,2013,read
Academically Adrift: Limited Learning on College Campuses,"Arum, Richard",,3.32,University Of Chicago Press,Paperback,272,2010,March,2011,to-read
Academy X,"Trees, Andrew",4,2.64,Bloomsbury USA,Hardcover,224,2006,June,2011,read
"After Dead: What Came Next in the World of Sookie Stackhouse (Sookie Stackhouse, #13.5)","Harris, Charlaine",,2.67,Ace,Hardcover,208,2013,October,2013,to-read
"Against All Enemies (Max Moore, #1)","Clancy, Tom",4,3.95,Putnam Adult,Hardcover,756,2011,December,2012,read
Aleister Crowley: The Beast Demystified,"Hutchinson, Roger",,3.15,Mainstream Publishing,Paperback,224,1998,September,2013,quit-reading
All the Sad Young Literary Men,"Gessen, Keith",4,2.9,Viking Adult,Hardcover,242,2008,November,2011,read
Always Looking: Essays on Art,"Updike, John",,3.78,Knopf,Hardcover,224,2012,April,2015,quit-reading
"American Gods (American Gods, #1)","Gaiman, Neil",,4.1,Headline Review,Hardcover,656,2001,January,2015,quit-reading
An Accidental Statistician: The Life and Memories of George E. P. Box,"Box, George E.P.",4,3.35,John Wiley & Sons,Hardcover,275,2013,June,2013,read
"Angelology (Angelology, #1)","Trussoni, Danielle",4,3.39,Viking,Hardcover,464,2010,May,2011,read
Angelopolis,"Trussoni, Danielle",4,3.34,Penguin Audio,Audio CD,320,2013,April,2013,read
Anti-Intellectualism in American Life,"Hofstadter, Richard",,4.21,"Random House, Inc.",Paperback,459,1963,September,2012,to-read
Archimedes Codex,"Netz, Reviel",3,3.85,Weidenfeld & Nicolson,Hardcover,305,2007,January,2011,read
"Are You There, Vodka? It's Me, Chelsea","Handler, Chelsea",3,3.84,HarperCollins Publishers,Hardcover,264,2007,April,2011,read
Armageddon in Retrospect,"Vonnegut, Kurt",4,3.92,G.P. Putnam's Sons,Hardcover,234,2008,March,2015,read
Atonement,"McEwan, Ian",,3.85,Nan A. Talese,Hardcover,351,2001,May,2013,quit-reading
Bacchus & Me: Adventures in the Wine Cellar,"McInerney, Jay",,3.45,Lyons Press,Hardcover,308,2000,October,2013,quit-reading
Bag Men: A Novel,"Flood, John",3,3.23,W. W. Norton & Company,Hardcover,256,1997,June,2011,read
Baseball Hacks: Tips & Tools for Analyzing and Winning with Statistics,"Adler, Joseph",4,3.48,O'Reilly Media,Paperback,472,2006,July,2011,read
Between a Heart and a Rock Place,Pat Benatar,3,3.64,William Morrow & Company,Hardcover,247,2010,October,2015,read
Between You & Me: Confessions of a Comma Queen,"Norris, Mary",5,3.54,W. W. Norton & Company,Hardcover,228,2015,April,2015,read
Blind Submission,"Ginsberg, Debra",3,3.29,Shaye Areheart Books,Hardcover,328,2006,September,2011,read
Bonk: The Curious Coupling of Science and Sex,"Roach, Mary",4,3.81,W. W. Norton & Company,Hardcover,319,2008,June,2011,read
Book of Days: Personal Essays,"Gordon, Emily Fox",,3.11,Spiegel & Grau,Paperback,320,2010,January,2015,to-read
Books,"McMurtry, Larry",4,3.15,Simon & Schuster,Hardcover,259,2008,April,2015,read
Bridge of Sighs,"Russo, Richard",5,3.77,Knopf,Hardcover,528,2007,October,2013,read
Brightness Falls,"McInerney, Jay",4,3.71,Alfred a Knopf,Hardcover,415,1992,June,2014,read
Caldecott and Co.: Notes on Books and Pictures,"Sendak, Maurice",4,4.29,Noonday Press,Hardcover,216,1988,January,2015,read
Calico Joe,"Grisham, John",4,3.78,Doubleday,Hardcover,198,2012,February,2013,read
Care of Wooden Floors,"Wiles, Will",,3.27,Harper Press,Hardcover,295,2012,June,2014,to-read
Catalyst,"Anderson, Laurie Halse",3,3.61,Viking Juvenile,Hardcover,233,2014,August,2014,read
"Catching Fire (The Hunger Games, #2)","Collins, Suzanne",3,4.31,Scholastic Press,Hardcover,405,2009,September,2012,read
Cheating Lessons: Learning from Academic Dishonesty,"Lang, James M.",,4.03,Harvard University Press,Hardcover,256,2013,December,2013,to-read
Columbine,"Cullen, Dave",,4.24,Twelve,Hardcover,417,2009,April,2012,to-read
"Command Authority (Jack Ryan, #9)","Clancy, Tom",4,4.07,G.P. Putnam's Sons,Hardcover,740,2013,August,2014,read
Confessions of an Economic Hit Man,"Perkins, John",3,3.81,Plume,Hardcover,336,2004,September,2013,read
Connected Code: Why Children Need to Learn Programming,"Kafai, Yasmin B.",,3.7,MIT Press (MA),Hardcover,181,2014,June,2015,quit-reading
Dead Babies,"Amis, Martin",,3.39,Vintage,Paperback,206,1975,July,2015,to-read
"Dead Ever After (Sookie Stackhouse, #13)","Harris, Charlaine",2,3.31,Ace,Hardcover,338,2013,June,2013,read
