ISBN,Title,Author,MyRating,AvgRating,Publisher,Binding,Pages,PubDate,MonthRead
1455517062,The Kill Room,"Deaver, Jeffery",3,3.72,Grand Central Publishing,Hardcover,477,2013,12
140006788X,Night Film,"Pessl, Marisha",4,3.78,Random House,Hardcover,602,2013,12
399160450,"Threat Vector (Jack Ryan Jr., #4)","Clancy, Tom and Greaney, Mark",4,4.1,Putnam Adult,Hardcover,848,2012,12
199841624,Evidence-Based Policy: A Practical Guide to Doing It Better,"Cartwright, Nancy and Hardie, Jeremy",3,3.5,"Oxford University Press, USA",Paperback,196,2012,12
670031917,The Sixth Lamentation,"Brodrick, William",4,3.7,Viking Adult,Hardcover,400,2003,12
691149283,Uneducated Guesses: Using Evidence to Uncover Misguided Education Policies,"Wainer, Howard",5,3.21,Princeton University Press,Hardcover,175,2011,12
1600783686,A Passion to Win,"Nanne, Lou and Bruton, Jim",3,2.93,Triumph Books,Hardcover,256,2010,11
679432469,Straight Man,"Russo, Richard",5,4.02,Random House USA Inc,Hardcover,391,1997,11
439023513,"Mockingjay (The Hunger Games, #3)","Collins, Suzanne",3,4.03,Scholastic Press,Hardcover,392,2010,10
375414959,Bridge of Sighs,"Russo, Richard",5,3.75,Knopf,Hardcover,528,2007,10
61238554,The Rake: A Novel,"Jr., William F. Buckley",4,3.07,Harper,Hardcover,288,2007,9
452287081,Confessions of an Economic Hit Man,"Perkins, John",3,3.78,Plume,Paperback,320,2004,9
1400044529,The Pregnant Widow,"Amis, Martin",3,2.99,Knopf,Hardcover,370,2008,9
375411402,The Good Life,"McInerney, Jay",4,3.31,Knopf,Hardcover,368,2006,8
871132389,Story of My Life,"McInerney, Jay",4,3.58,Atlantic Monthly Press,Hardcover,189,1988,8
1439136637,"Revenge Wears Prada: The Devil Returns (The Devil Wears Prada, #2)","Weisberger, Lauren",3,2.72,Simon & Schuster,Hardcover,400,2013,7
674002229,Academic Duty,"Kennedy, Donald",5,3.88,Harvard University Press,Hardcover,310,1997,7
641949588,"I Love You, Beth Cooper","Doyle, Larry",5,3.3,HarperCollins Publishers,Hardcover,255,2007,6
385537859,"Inferno (Robert Langdon, #4)","Brown, Dan",3,3.67,Doubleday,Hardcover,461,2013,6
193700788X,"Dead Ever After (Sookie Stackhouse, #13)","Harris, Charlaine",2,3.2,Ace,Hardcover,338,2012,6
1118400887,An Accidental Statistician: The Life and Memories of George E. P. Box,"Box, George E.P.",4,3.6,Wiley-Blackwell,Hardcover,304,2013,6
1449339735,Interactive Data Visualization for the Web,"Murray, Scott",0,4,O'Reilly Media,Paperback,272,2013,6
718159144,"Locked On (Jack Ryan Jr., #3)","Clancy, Tom and Greaney, Mark",4,3.93,Michael Joseph,Hardcover,720,2011,5
312375069,The Devotion of Suspect X,"Higashino, Keigo and Smith, Alexander O.",3,3.87,Minotaur Books,Hardcover,298,2005,5
1439156379,"XO (Kathryn Dance, #3)","Deaver, Jeffery",4,3.68,Simon & Schuster,Hardcover,385,2012,5
385525001,Playing for Pizza,"Grisham, John",4,3.35,Doubleday,Hardcover,262,2007,5
1416535772,The King of Methlehem: A Novel,"Lindquist, Mark",4,3.16,Simon & Schuster,Hardcover,256,2007,4
067946302X,Never Mind Nirvana: A Novel,"Lindquist, Mark",4,3.61,Villard,Hardcover,256,2000,4
670025542,Angelopolis,"Trussoni, Danielle",4,3.31,Viking Adult,Hardcover,320,2013,4
312358342,The Leftovers,"Perrotta, Tom",3,3.37,St. Martin's Press,Hardcover,355,2011,4
412044110,Statistical Evidence,"Royall, Richard",4,3.67,CRC Press,Hardcover,191,1997,4
385536828,Sweet Tooth,"McEwan, Ian",5,3.38,Nan A. Talese,Hardcover,301,2012,4
1615526110,Supreme Courtship,"Buckley, Christopher",4,3.61,Grand Central Publishing,Hardcover,304,2008,3
159420411X,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,"Silver, Nate",4,3.92,Penguin,Hardcover,544,2012,3
385536070,Calico Joe,"Grisham, John",4,3.76,Doubleday,Hardcover,198,2012,2
517572060,Success,"Amis, Martin",4,3.63,Harmony,Hardcover,224,1978,2
307265439,The Road,"McCarthy, Cormac",4,3.94,Knopf,Hardcover,241,2006,1
446540331,Hitch-22: A Memoir,"Hitchens, Christopher",4,3.99,Twelve,Hardcover,435,2010,1
375406778,No Country for Old Men,"McCarthy, Cormac",5,4.09,Alfred A. Knopf,Hardcover,309,2005,1
7288751,Telegraph Avenue,"Chabon, Michael",5,3.35,Fourth Estate,Hardcover,468,2012,1
