id,gpa,ses,achievement,homework
124966,5.25,-0.563,64.3555,2
124972,3,0.123,48.63125,1
175551,2.5,0.229,49.72025,1
180660,6.5,0.687,46.58575,1
180672,4.25,0.633,54.944,4
298885,6,0.992,38.51025,1
604419,4.25,-0.282,43.01175,3
605355,,0.367,58.59025,
605377,5,1.572,46.695,3
637529,5,-0.714,55.25325,1
644220,4.6666667,0.321,,2
644230,5,-0.621,52.96525,
664105,7,1.224,46.1315,6
664186,8,0.964,52.43875,4
664196,7,1.27,61.48475,2
665696,4.6666667,-0.291,54.9275,4
673838,6.25,-0.406,52.34825,1
700005,4.5,-0.867,35.182,3
700013,6.5,-0.58,37.146,1
700015,8,-0.241,63.7995,4
701189,6,0.373,52.78,3
701600,,-0.588,44.5875,
701670,6.75,0.967,66.34625,1
701693,4,-0.011,58.031,4
702828,5,-0.428,48.831,3
702949,6.6666667,0.005,46.751,2
704214,2.5,-0.196,35.6335,0
708902,8,-0.163,45.67225,2
708923,5,-0.168,38.84775,0
708925,5,-0.142,48.52325,1
708943,3.25,0.122,37.44775,
709019,2,-1.665,38.73125,1
709416,7.5,1.799,52.7295,5
709609,7.25,-1.101,62.03225,2
709625,6.5,-1.065,54.79375,2
709663,2,-0.772,54.04825,0
710401,5,-0.728,48.93025,
710405,8,1.304,50.17825,5
710442,7.3333333,-0.219,59.2705,3
710478,4.3333333,-0.687,46.03575,2
710669,5.3333333,-0.911,59.845,2
710788,4.3333333,-0.394,41.022,2
710941,1.75,0.15,41.83425,2
710976,5,-0.381,53.50675,2
711016,4.25,0.126,40.13425,2
711993,6,0.424,39.713,2
714022,6.75,-0.242,54.1045,4
715760,2.6666667,-1.582,39.97775,1
715822,6,-0.565,55.82875,1
716967,7.75,-0.627,61.39875,3
718205,5.5,0.533,51.35175,0
719229,7,-0.167,68.50175,5
719363,5.5,1.312,61.286,2
721955,4.5,-0.145,43.81575,2
721977,6.3333333,-0.4,36.643,2
721982,4.6666667,-0.387,51.50025,1
721991,5,-0.74,47.71325,5
722042,5.25,-0.485,45.95825,2
723978,7,-0.19,54.5905,0
723989,5.25,0.458,55.44975,4
725368,5,-1.086,41.543,1
726914,7,0.58,54.77,4
726955,7,1.085,57.9745,3
728550,4.75,-0.624,56.25425,0
731460,3,0.401,46.146,4
732002,5,0.084,49.23175,3
732003,5.5,-0.917,43.06075,2
732058,4.75,-0.633,37.41675,1
733008,5,-1.004,43.721,4
733020,5.5,-0.749,34.20225,
733090,4.5,-1.454,40.3825,1
734055,5,-0.062,47.06675,3
734086,3.6666667,0.148,55.703,2
734175,4.25,-0.207,44.36075,1
734866,4,-0.061,40.51975,2
735622,6.6666667,0.563,55.993,3
736920,3.25,-0.869,47.8285,3
737345,4.5,-0.671,46.332,1
737374,1.75,-0.812,45.77175,2
738929,4,0.137,52.124,2
738964,6.25,-0.962,44.29825,2
738988,5,-0.915,45.69675,2
739842,8,1.008,65.4535,2
739892,5.5,1.004,54.45975,3
741555,5.5,-0.96,47.765,3
741586,5.5,-0.488,43.16575,1
742208,3.5,-1.235,,2
742725,4.25,-0.286,54.53375,2
743154,5.75,0.979,59.4505,5
743179,6,1.012,59.28625,4
743431,,0.2,40.67325,0
743527,6,1.002,66.44675,1
743578,7.5,1.006,66.54425,5
743909,4,-0.546,35.92175,2
743970,3.5,-0.142,50.38325,2
743988,4.25,-0.135,40.5895,2
744000,3.75,-0.764,47.56125,
744038,4,-0.309,41.3645,1
744102,6.25,0.108,64.8715,1
745034,3,-0.291,38.823,1
746537,,-0.803,36.1895,
746579,5,-0.603,42.62,1
747132,5,-0.174,39.605,3
747261,,-1.335,38.317,
747284,4.75,-0.261,49.054,1
747464,7,0.685,58.37225,2
748135,6.25,1.009,55.831,2
749414,3.6666667,-0.289,43.4295,3
750410,6.3333333,0.07,57.8765,2
751225,3,-1.058,50.93775,1
753835,6,0.513,61.63175,2
754787,6,-1.191,50.02325,3
755682,4,-1.167,43.34725,7
755772,5.75,0.365,52.28275,3
755790,5.25,-0.164,55.1105,7
757870,7,0.894,54.47625,2
757886,5.75,1.002,56.18,2
757890,5.75,1.301,53.05175,1
758405,5,-0.263,51.886,2
758418,5,-0.263,47.94225,7
759127,5.3333333,-0.812,40.23975,4
759180,5.6666667,-0.284,50.90725,2
759378,5.5,-1.417,63.3285,2
761643,5.3333333,-0.801,35.22,7
762592,,-0.84,40.38725,
763091,6,0.117,38.88325,3
763193,7,1.011,41.65825,2
766263,6.5,-0.381,41.50375,1
766290,6.75,0.225,43.5985,7
766951,4.25,-0.142,51.982,2
766994,5,-0.126,47.06075,0
771889,7.5,1.055,63.31,1
772509,5.75,1.541,53.23375,2
772684,3.5,-0.985,50.87825,4
773714,5.75,-0.958,38.194,2
773760,4.75,-0.797,,
774045,4.3333333,-0.032,46.517,2
777208,6.5,0.048,44.94125,1
778650,7,0.387,58.295,3
779390,7,0.051,52.946,2
779547,5,0.331,48.34925,3
780300,5.5,0.263,52.1065,1
780362,5.3333333,-0.054,33.4825,2
780393,5,-0.313,45.52875,3
782257,8,-0.632,65.10425,0
782290,5.5,-0.047,52.71575,2
