team,fci,winPct2013,pts2013,ptsAgainst2013,newCoach,coachYrswTeam,playoffs2013,playoffWins2013
Arizona Cardinals,436.09,62.5,379,324,0,1,0,0
Atlanta Falcons,437.33,25,353,443,0,6,0,0
Baltimore Ravens,547.26,50,320,352,0,6,0,0
Buffalo Bills,383.05,37.5,339,388,0,1,0,0
Carolina Panthers,404.78,75,366,241,0,3,1,1
Chicago Bears,596.76,50,445,478,0,1,0,0
Cincinnati Bengals,411.04,68.8,430,305,0,11,1,0
Cleveland Browns,348.8,25,308,406,1,0,0,0
Dallas Cowboys,634.8,50,439,432,0,4,0,0
Denver Broncos,482.22,81.3,606,399,0,3,1,3
Detroit Lions,411.94,43.8,395,376,1,0,0,0
Green Bay Packers,486.82,53.1,417,428,0,8,1,0
Houston Texans,491.11,12.5,276,428,1,0,0,0
Indianapolis Colts,458.27,68.8,391,336,0,2,1,1
Jacksonville Jaguars,345.58,25,247,449,0,1,0,0
Kansas City Chiefs,419.5,68.8,430,305,0,1,1,0
Miami Dolphins,398.12,50,317,335,0,2,0,0
Minnesota Vikings,490.62,34.4,391,480,1,0,0,0
New England Patriots,624.7,75,444,338,0,14,1,2
New Orleans Saints,507.49,68.8,414,304,0,8,1,1
New York Giants,582.76,43.8,294,383,0,10,0,0
New York Jets,553.63,50,290,387,0,5,0,0
Oakland Raiders,420.7,25,322,453,0,2,0,0
Philadelphia Eagles,530.76,62.5,442,382,0,1,1,0
Pittsburgh Steelers,512.88,50,379,370,0,7,0,0
San Diego Chargers,478.19,56.3,396,348,0,1,1,1
San Francisco 49ers,641.5,75,406,272,0,3,1,2
Seattle Seahawks,472.1,81.3,417,231,0,4,1,4
St. Louis Rams,427.44,43.8,348,364,0,2,0,0
Tampa Bay Buccaneers,388.36,25,288,389,1,0,0,0
Tennessee Titans,404.58,43.8,362,381,1,0,0,0
Washington,597.51,18.8,334,478,1,0,0,0
