occupation,prestige,education,type,income
government administrators,68.8,13.11,prof,12351
general managers,69.1,12.26,prof,25879
accountants,63.4,12.77,prof,9271
purchasing officers,56.8,11.42,prof,8865
chemists,73.5,14.62,prof,8403
physicists,77.6,15.64,prof,11030
biologists,72.6,15.09,prof,8258
architects,78.1,15.44,prof,14163
civil engineers,73.1,14.52,prof,11377
mining engineers,68.8,14.64,prof,11023
surveyors,62,12.39,prof,5902
draughtsmen,60,12.3,prof,7059
computer programers,53.8,13.83,prof,8425
economists,62.2,14.44,prof,8049
psychologists,74.9,14.36,prof,7405
social workers,55.1,14.21,prof,6336
lawyers,82.3,15.77,prof,19263
librarians,58.1,14.15,prof,6112
vocational counsellors,58.3,15.22,prof,9593
ministers,72.8,14.5,prof,4686
university teachers,84.6,15.97,prof,12480
primary school teachers,59.6,13.62,prof,5648
secondary school teachers,66.1,15.08,prof,8034
physicians,87.2,15.96,prof,25308
veterinarians,66.7,15.94,prof,14558
osteopaths chiropractors,68.4,14.71,prof,17498
nurses,64.7,12.46,prof,4614
nursing aides,34.9,9.45,bc,3485
physio therapsts,72.1,13.62,prof,5092
pharmacists,69.3,15.21,prof,10432
medical technicians,67.5,12.79,wc,5180
commercial artists,57.2,11.09,prof,6197
radio tv announcers,57.6,12.71,wc,7562
secretaries,46,11.59,wc,4036
typists,41.9,11.49,wc,3148
bookkeepers,49.4,11.32,wc,4348
tellers cashiers,42.3,10.64,wc,2448
computer operators,47.7,11.36,wc,4330
shipping clerks,30.9,9.17,wc,4761
file clerks,32.7,12.09,wc,3016
receptionsts,38.7,11.04,wc,2901
mail carriers,36.1,9.22,wc,5511
postal clerks,37.2,10.07,wc,3739
telephone operators,38.1,10.51,wc,3161
collectors,29.4,11.2,wc,4741
claim adjustors,51.1,11.13,wc,5052
travel clerks,35.7,11.43,wc,6259
office clerks,35.6,11,wc,4075
sales supervisors,41.5,9.84,wc,7482
commercial travellers,40.2,11.13,wc,8780
sales clerks,26.5,10.05,wc,2594
service station attendant,23.3,9.93,bc,2370
insurance agents,47.3,11.6,wc,8131
real estate salesmen,47.1,11.09,wc,6992
buyers,51.1,11.03,wc,7956
firefighters,43.5,9.47,bc,8895
policemen,51.6,10.93,bc,8891
cooks,29.7,7.74,bc,3116
bartenders,20.2,8.5,bc,3930
funeral directors,54.9,10.57,bc,7869
launderers,20.8,7.33,bc,3000
janitors,17.3,7.11,bc,3472
elevator operators,20.1,7.58,bc,3582
farm workers,21.5,8.6,bc,1656
rotary well drillers,35.3,8.88,bc,6860
bakers,38.9,7.54,bc,4199
slaughterers 1,25.2,7.64,bc,5134
slaughterers 2,34.8,7.64,bc,5134
canners,23.2,7.42,bc,1890
textile weavers,33.3,6.69,bc,4443
textile labourers,28.8,6.74,bc,3485
tool die makers,42.5,10.09,bc,8043
machinists,44.2,8.81,bc,6686
sheet metal workers,35.9,8.4,bc,6565
welders,41.8,7.92,bc,6477
auto workers,35.9,8.43,bc,5811
aircraft workers,43.7,8.78,bc,6573
electronic workers,50.8,8.76,bc,3942
radio tv repairmen,37.2,10.29,bc,5449
sewing mach operators,28.2,6.38,bc,2847
auto repairmen,38.1,8.1,bc,5795
aircraft repairmen,50.3,10.1,bc,7716
railway sectionmen,27.3,6.67,bc,4696
electrical linemen,40.9,9.05,bc,8316
electricians,50.2,9.93,bc,7147
construction foremen,51.1,8.24,bc,8880
carpenters,38.9,6.92,bc,5299
masons,36.2,6.6,bc,5959
house painters,29.9,7.81,bc,4549
plumbers,42.9,8.33,bc,6928
construction labourers,26.5,7.52,bc,3910
pilots,66.1,12.27,prof,14032
train engineers,48.9,8.49,bc,8845
bus drivers,35.9,7.58,bc,5562
taxi drivers,25.1,7.93,bc,4224
longshoremen,26.1,8.37,bc,4753
typesetters,42.2,10,bc,6462
bookbinders,35.2,8.55,bc,3617
