prof,avgeval,btystdave,tenured,nonenglish,age,female,students,percentevaluating
1,4.3,0.2015666,0,0,36,1,43,55.81395
2,4.5,-0.8260813,1,0,59,0,20,85
3,3.7,-0.6603327,1,0,51,0,55,100
4,4.3,-0.7663125,1,0,40,1,46,86.95652
5,4.4,1.421445,0,0,31,1,48,87.5
6,4.2,0.5002196,1,0,62,0,282,64.53901
7,4,-0.2143501,0,0,33,1,41,80.48781
8,3.4,-0.346539,1,0,51,1,41,60.97561
9,4.5,0.0613435,0,0,33,1,60,80
10,3.9,0.4525679,0,0,47,0,19,84.21053
11,3.1,0.1432643,0,1,35,0,25,72
12,4,-0.1550228,0,0,37,0,34,88.23529
13,3.8,0.1285433,1,0,42,0,40,70
14,3.4,-0.3470453,1,1,49,0,36,83.33334
15,2.9,0.4619388,0,0,37,1,28,82.14286
16,4.5,-0.1503849,1,0,45,0,33,69.69697
17,4,-1.070734,0,0,56,1,41,65.85366
18,3.8,-0.1426931,0,0,48,0,135,74.07407
19,4.3,-0.1563634,1,0,46,1,31,80.64516
20,3.4,-0.0589354,0,0,57,1,28,60.71429
21,3.4,0.1511368,0,0,52,1,22,86.36364
22,3.3,-0.937076,0,1,29,1,26,73.07692
23,4.3,-0.8214405,1,0,62,0,39,76.92308
24,4.4,-0.1994712,1,0,64,0,24,62.5
25,4.6,1.687167,0,0,34,1,26,76.92308
26,4.2,-0.4101976,1,0,58,0,159,52.83019
27,4,0.1233448,1,1,52,0,16,81.25
28,3.3,-0.8059942,1,0,73,0,17,70.58823
29,4.4,-0.8210418,1,0,70,0,134,35.07463
30,2.3,0.3198185,0,0,41,1,12,83.33334
31,3.5,-0.0985568,0,0,63,0,43,65.11628
32,4.7,-1.012306,1,0,47,0,15,66.66666
33,3.9,0.4883314,1,0,39,0,246,34.95935
34,4,-0.1719505,0,0,47,1,21,100
35,4.3,-1.167907,1,0,54,0,15,100
36,3.8,0.9525534,1,0,44,1,55,54.54546
37,3.8,-1.140457,1,0,47,0,27,74.07407
38,4,-0.8161172,1,0,62,0,13,92.30769
39,4.6,-0.4837456,1,0,60,0,34,73.52941
40,3.5,0.8450468,0,0,37,0,17,88.23529
41,4.7,-0.3261277,0,0,42,0,14,92.85714
42,4.2,0.1865589,1,0,35,0,51,82.35294
43,3.4,1.881674,0,0,39,1,24,91.66666
44,3.9,0.9626006,1,0,49,0,45,62.22222
45,4.5,0.1534694,1,0,61,0,27,81.48148
46,4.7,1.261046,0,0,33,0,31,96.77419
47,3.5,0.0232144,1,0,58,1,34,76.47059
48,3.7,-0.3460746,1,0,56,1,19,63.15789
49,4,-0.744618,0,0,50,1,27,81.48148
50,4.1,-0.7447439,1,0,52,0,67,85.07462
51,4.4,0.6361284,0,0,33,1,15,66.66666
52,4.2,0.5434852,1,0,57,0,77,89.61039
53,4.5,0.9825948,1,0,38,1,65,70.76923
54,3.8,-1.538843,0,0,34,1,91,59.34066
55,3.1,1.067531,0,0,34,0,36,66.66666
56,3.7,-0.4143639,0,0,32,0,248,34.27419
57,3.9,0.7962944,1,0,42,1,62,70.96774
58,4,-0.6466943,1,0,43,1,51,68.62745
59,3.3,-0.4299034,0,1,35,0,19,57.89474
60,3.1,-0.5924066,1,0,62,1,27,81.48148
61,4,-0.9889295,1,0,42,0,86,52.32558
62,4.3,0.5546651,1,0,39,0,29,75.86207
63,3.7,0.6851749,1,0,52,1,88,72.72727
64,3.4,0.9755885,1,0,52,1,44,70.45454
65,4.3,-1.178738,0,0,52,1,75,78.66666
66,3.7,-1.157511,1,0,64,0,11,81.81818
67,4.2,1.327346,1,0,50,0,16,93.75
68,2.2,-1.511268,1,0,60,0,32,71.875
69,3,0.3034731,1,0,51,1,67,70.14925
70,4.3,-0.5783117,0,0,43,0,22,86.36364
71,4.6,-0.671936,0,0,50,0,24,70.83334
72,3.5,0.6683338,1,0,52,0,69,66.66666
73,4.6,0.7924695,1,0,51,0,574,60.62718
74,3.7,-0.6548505,1,0,38,0,87,50.57471
75,3.8,0.2510546,1,0,47,1,24,79.16666
76,3.6,-0.2397178,1,0,43,1,103,45.63107
77,4.4,-1.113346,0,0,38,1,68,48.52941
78,4.1,-0.1135935,1,0,43,0,13,76.92308
79,4.3,-0.8351366,1,0,57,0,13,53.84615
80,4,0.9005994,1,0,51,1,11,81.81818
81,4.8,-0.620769,0,0,45,0,17,70.58823
82,3.5,-0.8552412,1,0,57,0,14,92.85714
83,3.6,1.065906,0,0,47,1,21,76.19048
84,3.8,1.144253,1,0,54,1,18,100
85,4.7,1.685985,0,0,58,0,17,94.11765
86,4.9,1.684802,1,0,42,0,18,83.33334
87,4.3,0.6362435,0,0,33,0,120,70.83334
88,3.3,-1.269975,1,0,62,0,38,28.94737
89,3.4,1.681103,0,0,35,1,96,62.5
90,3.6,-0.6756103,1,0,61,0,39,69.23077
91,4,-0.0901815,1,0,52,1,111,54.95496
92,3.9,-0.1450257,0,1,60,1,27,85.18519
93,4.3,1.143045,0,0,32,0,132,74.24242
94,3.3,0.3320507,0,1,42,1,84,57.14286
1,3.7,0.2015666,0,0,36,1,125,68.8
1,3.6,0.2015666,0,0,36,1,125,60.8
1,4.4,0.2015666,0,0,36,1,123,62.60163
2,4,-0.8260813,1,0,59,0,40,87.5
2,2.1,-0.8260813,1,0,59,0,44,88.63636
3,3.2,-0.6603327,1,0,51,0,195,56.92308
4,3.5,-0.7663125,1,0,40,1,27,88.88889
4,4.1,-0.7663125,1,0,40,1,25,96
4,4.6,-0.7663125,1,0,40,1,20,85
4,3.8,-0.7663125,1,0,40,1,25,56
4,3.8,-0.7663125,1,0,40,1,42,88.09524
4,3.8,-0.7663125,1,0,40,1,20,90
4,4.2,-0.7663125,1,0,40,1,18,83.33334
5,3.9,1.421445,0,0,31,1,44,90.90909
5,4.5,1.421445,0,0,31,1,48,79.16666
5,4.5,1.421445,0,0,31,1,45,88.88889
5,4.4,1.421445,0,0,31,1,59,88.13559
5,4.4,1.421445,0,0,31,1,87,56.32184
6,4.4,0.5002196,1,0,62,0,292,54.79452
6,4.5,0.5002196,1,0,62,0,130,60.76923
6,4.3,0.5002196,1,0,62,0,285,61.75439
6,4.6,0.5002196,1,0,62,0,272,56.98529
6,4.8,0.5002196,1,0,62,0,286,58.04196
6,4.3,0.5002196,1,0,62,0,302,61.58941
7,4,-0.2143501,0,0,33,1,34,85.29412
7,4,-0.2143501,0,0,33,1,41,90.2439
7,3.9,-0.2143501,0,0,33,1,41,70.7317
7,3.3,-0.2143501,0,0,33,1,34,82.35294
8,4.5,-0.346539,1,0,51,1,22,95.45454
8,4.5,-0.346539,1,0,51,1,21,61.90476
8,4.5,-0.346539,1,0,51,1,17,94.11765
8,2.5,-0.346539,1,0,51,1,30,80
8,4.3,-0.346539,1,0,51,1,23,100
8,4.5,-0.346539,1,0,51,1,20,100
9,4.7,0.0613435,0,0,33,1,33,87.87878
9,3.5,0.0613435,0,0,33,1,44,25
9,4.5,0.0613435,0,0,33,1,49,59.18367
9,3.8,0.0613435,0,0,33,1,29,86.20689
9,4.5,0.0613435,0,0,33,1,48,87.5
9,4.3,0.0613435,0,0,33,1,40,85
10,3.9,0.4525679,0,0,47,0,16,75
10,4.3,0.4525679,0,0,47,0,15,93.33334
10,4.2,0.4525679,0,0,47,0,23,95.65218
10,5,0.4525679,0,0,47,0,11,90.90909
10,5,0.4525679,0,0,47,0,29,58.62069
10,4.6,0.4525679,0,0,47,0,21,76.19048
10,5,0.4525679,0,0,47,0,18,83.33334
10,4.7,0.4525679,0,0,47,0,19,84.21053
10,5,0.4525679,0,0,47,0,20,80
11,2.7,0.1432643,0,1,35,0,33,90.90909
11,4,0.1432643,0,1,35,0,24,95.83334
12,4.4,-0.1550228,0,0,37,0,21,61.90476
12,4.4,-0.1550228,0,0,37,0,30,80
12,4.3,-0.1550228,0,0,37,0,25,96
12,3.5,-0.1550228,0,0,37,0,35,71.42857
13,3.8,0.1285433,1,0,42,0,30,60
13,3.9,0.1285433,1,0,42,0,42,66.66666
13,3.7,0.1285433,1,0,42,0,57,43.85965
13,3.3,0.1285433,1,0,42,0,57,70.17544
13,4,0.1285433,1,0,42,0,51,78.43137
13,3.8,0.1285433,1,0,42,0,30,60
14,4.2,-0.3470453,1,1,49,0,37,83.78378
14,3.1,-0.3470453,1,1,49,0,29,51.72414
14,3.6,-0.3470453,1,1,49,0,27,85.18519
15,3.3,0.4619388,0,0,37,1,52,65.38461
15,2.9,0.4619388,0,0,37,1,26,80.76923
15,3.1,0.4619388,0,0,37,1,30,96.66666
16,4,-0.1503849,1,0,45,0,177,25.42373
16,4,-0.1503849,1,0,45,0,199,45.22613
16,4.2,-0.1503849,1,0,45,0,32,84.375
16,3.8,-0.1503849,1,0,45,0,37,94.5946
16,4.3,-0.1503849,1,0,45,0,161,74.53416
17,4.6,-1.070734,0,0,56,1,44,88.63636
17,4.3,-1.070734,0,0,56,1,53,66.03773
17,3.6,-1.070734,0,0,56,1,49,69.38776
17,4.2,-1.070734,0,0,56,1,32,84.375
18,3.9,-0.1426931,0,0,48,0,33,60.60606
18,4.1,-0.1426931,0,0,48,0,19,73.68421
18,4,-0.1426931,0,0,48,0,111,58.55856
18,4.3,-0.1426931,0,0,48,0,149,63.75839
18,3.9,-0.1426931,0,0,48,0,27,66.66666
18,4.2,-0.1426931,0,0,48,0,136,62.5
18,4.2,-0.1426931,0,0,48,0,140,80.71429
19,4.9,-0.1563634,1,0,46,1,15,93.33334
19,4,-0.1563634,1,0,46,1,29,79.31035
19,4.3,-0.1563634,1,0,46,1,25,92
19,4.9,-0.1563634,1,0,46,1,18,50
19,3.9,-0.1563634,1,0,46,1,45,66.66666
19,4.9,-0.1563634,1,0,46,1,15,100
19,3.9,-0.1563634,1,0,46,1,38,81.57895
19,4,-0.1563634,1,0,46,1,15,80
20,3.5,-0.0589354,0,0,57,1,23,43.47826
20,3.9,-0.0589354,0,0,57,1,19,78.94736
20,4,-0.0589354,0,0,57,1,23,30.43478
20,3.6,-0.0589354,0,0,57,1,22,31.81818
20,3,-0.0589354,0,0,57,1,20,70
20,3,-0.0589354,0,0,57,1,19,42.10526
20,3.6,-0.0589354,0,0,57,1,23,73.91304
20,3.6,-0.0589354,0,0,57,1,22,45.45454
20,3.2,-0.0589354,0,0,57,1,15,80
21,3.9,0.1511368,0,0,52,1,31,87.09677
21,3.5,0.1511368,0,0,52,1,21,95.2381
21,3.5,0.1511368,0,0,52,1,36,86.11111
21,3.1,0.1511368,0,0,52,1,19,89.47369
21,4.2,0.1511368,0,0,52,1,37,62.16216
23,3.6,-0.8214405,1,0,62,0,184,51.08696
23,4.5,-0.8214405,1,0,62,0,50,92
23,3.7,-0.8214405,1,0,62,0,157,50.95541
23,3.4,-0.8214405,1,0,62,0,164,37.19512
24,4.5,-0.1994712,1,0,64,0,68,75
24,4.6,-0.1994712,1,0,64,0,47,46.80851
24,4.8,-0.1994712,1,0,64,0,14,71.42857
24,4.5,-0.1994712,1,0,64,0,15,73.33334
24,4.4,-0.1994712,1,0,64,0,24,62.5
24,4.1,-0.1994712,1,0,64,0,39,53.84615
25,3.9,1.687167,0,0,34,1,40,82.5
26,4.3,-0.4101976,1,0,58,0,151,47.01987
26,3.5,-0.4101976,1,0,58,0,47,76.59574
26,4,-0.4101976,1,0,58,0,122,59.83607
26,4,-0.4101976,1,0,58,0,45,68.88889
27,4.6,0.1233448,1,1,52,0,23,100
27,4.6,0.1233448,1,1,52,0,16,75
27,3.7,0.1233448,1,1,52,0,18,83.33334
27,3.5,0.1233448,1,1,52,0,16,68.75
27,3.6,0.1233448,1,1,52,0,15,80
27,3.9,0.1233448,1,1,52,0,28,64.28571
28,4.2,-0.8059942,1,0,73,0,13,76.92308
28,3.2,-0.8059942,1,0,73,0,21,76.19048
28,4.9,-0.8059942,1,0,73,0,17,76.47059
29,4,-0.8210418,1,0,70,0,48,10.41667
29,3.5,-0.8210418,1,0,70,0,64,53.125
29,3.4,-0.8210418,1,0,70,0,69,34.78261
31,4.2,-0.0985568,0,0,63,0,14,78.57143
31,3.5,-0.0985568,0,0,63,0,15,66.66666
31,4.4,-0.0985568,0,0,63,0,18,77.77778
31,3.7,-0.0985568,0,0,63,0,16,75
31,3.4,-0.0985568,0,0,63,0,10,80
31,3,-0.0985568,0,0,63,0,47,48.93617
32,3.9,-1.012306,1,0,47,0,14,71.42857
32,2.8,-1.012306,1,0,47,0,12,83.33334
