state,county,fips,rural_urban,metro,fcc_availability,microsoft_useage,pct_poverty,median_income,lt_hs_2019,hs_2019,some_college_2019,college_2019
AL,Autauga County,1001,2,Metro,0.81,0.28,12.1,58233,11.5,33.6,28.4,26.6
AL,Baldwin County,1003,3,Metro,0.88,0.3,10.1,59871,9.2,27.7,31.3,31.9
AL,Barbour County,1005,6,Nonmetro,0.59,0.18,27.1,35972,26.8,35.6,26,11.6
AL,Bibb County,1007,1,Metro,0.29,0.07,20.3,47918,20.9,44.9,23.8,10.4
AL,Blount County,1009,1,Metro,0.69,0.09,16.3,52902,19.5,33.4,34,13.1
AL,Bullock County,1011,6,Nonmetro,0.06,0.05,30,31906,25.3,40.3,22.3,12.1
AL,Butler County,1013,6,Nonmetro,0.78,0.11,21.6,39944,15,45.2,23.7,16.1
AL,Calhoun County,1015,3,Metro,0.93,0.32,17.2,47747,15.6,32.8,33.2,18.5
AL,Chambers County,1017,6,Nonmetro,0.82,0.34,19.6,42015,18.4,36.7,31.6,13.3
AL,Cherokee County,1019,6,Nonmetro,0.99,0.1,15.9,45982,18.4,40.3,28.6,12.8
AL,Chilton County,1021,1,Metro,0.66,0.05,16,49692,18.2,44.4,24.6,12.7
AL,Choctaw County,1023,9,Nonmetro,0.23,0.02,22.6,39808,18.6,37.7,31.8,11.9
AL,Clarke County,1025,7,Nonmetro,0.63,0.05,18.4,43822,19.4,41.8,26.6,12.2
AL,Clay County,1027,9,Nonmetro,0.4,0.13,16.6,40562,23.3,37.8,28.3,10.6
AL,Cleburne County,1029,8,Nonmetro,0.13,0.05,13.3,51276,21,38,25.6,15.4
AL,Coffee County,1031,4,Nonmetro,0.9,0.39,15,57299,14.1,27.2,35.9,22.8
AL,Colbert County,1033,3,Metro,0.8,0.26,14.6,46683,14.8,37.8,29.2,18.1
AL,Conecuh County,1035,7,Nonmetro,0.4,0.05,22.2,41539,15.7,51.1,20.4,12.8
AL,Coosa County,1037,8,Nonmetro,0.76,0.09,17.1,42024,20,40.3,26.9,12.8
