income,education,ethnicity,black,hispanic,white,minority
16,10,black,1,0,0,1
18,7,black,1,0,0,1
26,9,black,1,0,0,1
16,11,black,1,0,0,1
34,14,black,1,0,0,1
22,12,black,1,0,0,1
42,16,black,1,0,0,1
42,16,black,1,0,0,1
16,9,black,1,0,0,1
20,10,black,1,0,0,1
66,16,black,1,0,0,1
26,12,black,1,0,0,1
20,10,black,1,0,0,1
30,15,black,1,0,0,1
20,10,black,1,0,0,1
30,19,black,1,0,0,1
32,16,hispanic,0,1,0,1
16,11,hispanic,0,1,0,1
20,10,hispanic,0,1,0,1
58,16,hispanic,0,1,0,1
30,12,hispanic,0,1,0,1
26,10,hispanic,0,1,0,1
20,8,hispanic,0,1,0,1
40,12,hispanic,0,1,0,1
32,10,hispanic,0,1,0,1
22,11,hispanic,0,1,0,1
20,10,hispanic,0,1,0,1
56,14,hispanic,0,1,0,1
32,12,hispanic,0,1,0,1
30,11,hispanic,0,1,0,1
30,14,white,0,0,1,0
48,14,white,0,0,1,0
40,7,white,0,0,1,0
84,18,white,0,0,1,0
50,10,white,0,0,1,0
38,12,white,0,0,1,0
30,12,white,0,0,1,0
76,16,white,0,0,1,0
48,16,white,0,0,1,0
36,11,white,0,0,1,0
40,11,white,0,0,1,0
44,12,white,0,0,1,0
30,10,white,0,0,1,0
60,15,white,0,0,1,0
24,9,white,0,0,1,0
88,17,white,0,0,1,0
46,16,white,0,0,1,0
50,16,white,0,0,1,0
50,14,white,0,0,1,0
22,11,white,0,0,1,0
26,12,white,0,0,1,0
46,16,white,0,0,1,0
22,9,white,0,0,1,0
24,9,white,0,0,1,0
64,14,white,0,0,1,0
62,16,white,0,0,1,0
24,10,white,0,0,1,0
50,13,white,0,0,1,0
32,10,white,0,0,1,0
34,16,white,0,0,1,0
52,18,white,0,0,1,0
24,12,white,0,0,1,0
22,14,white,0,0,1,0
20,13,white,0,0,1,0
30,14,white,0,0,1,0
24,13,white,0,0,1,0
120,18,white,0,0,1,0
22,10,white,0,0,1,0
82,16,white,0,0,1,0
18,12,white,0,0,1,0
26,12,white,0,0,1,0
104,14,white,0,0,1,0
28,12,white,0,0,1,0
32,12,white,0,0,1,0
38,14,white,0,0,1,0
44,12,white,0,0,1,0
22,12,white,0,0,1,0
18,10,white,0,0,1,0
24,12,white,0,0,1,0
56,20,white,0,0,1,0
