character,comic,reality,identity,alignment,eye_color,hair_color,sex,lgbtq,lgbtq_note,alive,appearances,first_appear_date,first_appear_year
14,Marvel,Earth-616,Secret Identity,Bad,,,Female,No,,Living,1,"1994, November 01",1994
88,Marvel,Earth-616,Public Identity,Bad,Blue,Blond,Male,No,,Living,3,"1994, March 01",1994
99,Marvel,Earth-616,Secret Identity,Neutral,Blue,,Male,No,,Living,1,"1994, November 01",1994
107,Marvel,Earth-616,Secret Identity,Neutral,Green,,Male,No,,Living,1,"1994, November 01",1994
'Spinner,Marvel,Earth-616,Secret Identity,Good,,,Male,No,,Living,,"2022, November 07",2007
"""Thumper"" Morgan",Marvel,Earth-616,Secret Identity,Bad,,Bald,Male,No,,Living,,"1965, February 01",1965
11-Ball,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,1,"1991, July 01",1991
115 (Legion Personality),Marvel,Earth-616,Secret Identity,Neutral,Blue,White,Female,No,,Living,1,"2022, August 10",2010
181 (Legion Personality),Marvel,Earth-616,Secret Identity,Neutral,,,,No,,Living,1,"2022, July 11",2011
1X,Marvel,Earth-616,Public Identity,Good,,Blond,Male,No,,Living,1,"1940, March 01",1940
2-D,Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Male,No,,Living,3,"2022, January 08",2008
2X,Marvel,Earth-616,Public Identity,Good,,Brown,Male,No,,Living,1,"1940, March 01",1940
302 (Legion Personality),Marvel,Earth-616,Secret Identity,Neutral,,,,No,,Living,2,"2022, August 11",2011
3g4,DC,New Earth,,Good,,,Male,No,,Deceased,1,"1997, October",1997
3X,Marvel,Earth-616,Public Identity,Good,,Black,Male,No,,Living,1,"1940, March 01",1940
500-ZQ,DC,New Earth,,Good,Blue,,Female,No,,Living,10,"1989, January",1989
6-Ball,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,,"1991, July 01",1991
6R,Marvel,Earth-616,,Bad,,,,No,,Deceased,1,"1969, July 01",1969
762 (Legion Personality),Marvel,Earth-616,Secret Identity,Neutral,,Black,Male,No,,Living,1,"2022, August 10",2010
8-Ball (Hobgoblin),Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,3,,
8-Ball II,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,1,"2022, September 09",2009
9-Ball,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,1,"1991, July 01",1991
933 (Legion Personality),Marvel,Earth-616,Secret Identity,Neutral,,,,No,,Living,1,"2022, August 11",2011
A,Marvel,Earth-616,Secret Identity,Bad,,Blond,Female,No,,Living,3,"2022, February 01",2001
A Friend,Marvel,Earth-616,,,,,Male,No,,Living,11,"1974, December 01",1974
A-Mortal,DC,New Earth,Secret Identity,Bad,Red,,Male,No,,Living,6,"1997, January",1997
A. G. Bell,Marvel,Earth-616,Secret Identity,Good,Black,Black,Male,No,,Living,3,,
A. Summers,Marvel,Earth-616,No Dual Identity,Neutral,,Black,Female,No,,Deceased,1,"1987, November 01",1987
A.C. O'Connor,Marvel,Earth-616,No Dual Identity,Neutral,,Blond,Female,No,,Deceased,,"1980, September 01",1980
A.J.,DC,New Earth,,Good,Blue,Blond,Male,No,,Living,8,"1995, August",1995
A.J. Raffles,Marvel,Earth-616,,Good,,Blond,Male,No,,Living,1,"1943, March 01",1943
A'Hwiirdh-Paan'A,DC,New Earth,Public Identity,Good,Blue,Purple,Female,No,,Deceased,,"1981, June",1981
A'kane,Marvel,Earth-616,No Dual Identity,,,Black,Female,No,,Deceased,,"1995, December 01",1995
A'Kurru U'mbaya,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,,"1992, December 01",1992
A'Lars,Marvel,Earth-616,Secret Identity,Good,Blue,White,Male,No,,Living,,"1973, February 01",1973
A'monn A'mokk,DC,New Earth,Public Identity,Bad,Orange,,Male,No,,Deceased,,"2005, August",2005
A'morr,DC,New Earth,Public Identity,Bad,Orange,,Female,No,,Deceased,,"2005, August",2005
A'Sai,Marvel,Earth-616,Secret Identity,,Yellow,Bald,Male,No,,Living,,"1988, January 01",1988
A'yin,Marvel,Earth-616,Secret Identity,Bad,Red,Bald,Male,No,,Living,,"1997, March 01",1997
A3,Marvel,Earth-616,,Bad,,,,No,,Deceased,2,"1969, July 01",1969
Aa,DC,New Earth,Secret Identity,Good,,,Female,No,,Living,15,"1992, February",1992
Aa-Gorn,Marvel,Earth-616,No Dual Identity,Neutral,,Black,Male,No,,Deceased,1,"1991, August 01",1991
Aa-Thak,Marvel,Earth-616,,Bad,,,Male,No,,Living,,"1980, August 01",1980
Aaidan Blomfield,Marvel,Earth-616,Secret Identity,Bad,,Blond,Male,No,,Living,2,"1996, July 01",1996
Aalbort,Marvel,Earth-616,No Dual Identity,,White,White,Male,No,,Living,1,"1989, June 01",1989
Aaliyah Hardin,Marvel,Earth-616,No Dual Identity,Good,Black,Black,Female,No,,Living,4,"2022, December 02",2002
Aamir,Marvel,Earth-616,Secret Identity,,,Black,Male,No,,Living,1,"2022, March 03",2003
Aamshed,Marvel,Earth-616,Secret Identity,,Blue,Blond,Female,No,,Living,6,"2022, December 04",2004
Aan Taanu,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,3,"1991, October 01",1991
Aarden,DC,New Earth,,,,Brown,Male,No,,Living,6,"1996, February",1996
Aardvark,Marvel,Earth-616,Secret Identity,,,Brown,Male,No,,Living,1,,
Aarkus,Marvel,Earth-616,Secret Identity,Good,White,No Hair,Male,No,,Living,72,"1940, November 01",1940
Aaron Amberson,Marvel,Earth-616,No Dual Identity,,Brown,Brown,Male,No,,Living,1,"1999, August 01",1999
Aaron Babcock,DC,New Earth,Public Identity,Bad,,Brown,Male,No,,Deceased,1,"1992, March",1992
Aaron Carpenter,Marvel,Earth-616,No Dual Identity,Good,Brown,Black,Male,No,,Living,2,,
Aaron Cash,DC,New Earth,Public Identity,Good,,Black,Male,No,,Living,20,"2003, July",2003
Aaron Cashin,Marvel,Earth-616,Secret Identity,Bad,,Brown,Male,No,,Living,8,"1992, June 01",1992
Aaron Chord,Marvel,Earth-616,Secret Identity,Bad,Brown,Black,Male,No,,Living,24,"1990, August 01",1990
Aaron Downing,Marvel,Earth-616,No Dual Identity,Good,,Brown,Male,No,,Living,4,"2022, August 10",2010
Aaron English,Marvel,Earth-616,Public Identity,Good,,Strawberry Blond,Male,No,,Living,18,"1977, September 01",1977
Aaron Hayley,DC,New Earth,,Good,,,Male,No,,Living,1,1998,1998
Aaron Helzinger,DC,New Earth,Secret Identity,Bad,Black,,Male,No,,Living,32,"1992, August",1992
Aaron Jase,DC,New Earth,Public Identity,Good,,,Male,No,,Deceased,5,"1994, November",1994
Aaron Langstrom,DC,New Earth,Secret Identity,Neutral,Brown,Brown,Male,No,,Living,10,"1996, April",1996
Aaron MacKenzie,Marvel,Earth-616,No Dual Identity,Good,,Blond,Male,No,,Living,11,"2022, April 11",2011
Aaron Nicholson,Marvel,Earth-616,Secret Identity,Bad,Brown,Black,Male,No,,Living,39,"1984, June 01",1984
Aaron Rosenberg,Marvel,Earth-616,No Dual Identity,Good,,Brown,Male,No,,Living,3,"2022, December 02",2002
Aaron Salomon,Marvel,Earth-616,Secret Identity,Bad,Green,No Hair,Male,No,,Living,18,"1977, November 01",1977
Aaron Soames,Marvel,Earth-616,Secret Identity,Bad,Blue,White,Male,No,,Deceased,3,"1980, November 01",1980
Aaron Stankey,Marvel,Earth-616,No Dual Identity,Neutral,,,Male,No,,Living,3,"1977, September 01",1977
Aaron the Aakon,Marvel,Earth-616,Secret Identity,Neutral,Brown,Black,Male,No,,Living,,"1989, August 01",1989
Aaron the Sorcerer,Marvel,Earth-616,Secret Identity,,,Brown,Male,No,,Living,1,"1962, March 01",1962
Aaron Thorne,Marvel,Earth-616,No Dual Identity,Bad,Blue,Brown,Male,No,,Living,4,"1994, July 01",1994
Aaron Verne,Marvel,Earth-616,Public Identity,Bad,,Bald,Male,No,,Living,2,"1980, December 01",1980
Abadon,Marvel,Earth-616,,Bad,,Brown,Male,No,,Living,4,"1993, June 01",1993
