earn,height,female,education
1000,73,0,18
1000,65,0,12
1200,66,0,12
1500,73,0,12
1700,65,0,12
2000,72,0,15
2000,66,0,12
2000,68,0,12
2000,66,0,15
2000,69,0,12
3000,73,0,17
3000,71,0,11
3000,74,0,6
3000,71,0,14
3000,71,0,8
3000,72,0,14
3000,73,0,15
3192,75,0,11
3500,72,0,10
4000,73,0,13
4000,72,0,15
4000,73,0,15
4000,71,0,12
4000,70,0,14
4100,65,0,16
5000,68,0,16
5000,66,0,15
5000,75,0,12
5000,68,0,13
5000,64,0,17
5000,75,0,12
5000,72,0,12
5000,69,0,16
5000,66,0,12
5000,70,0,13
5000,74,0,12
5124,66,0,8
5500,67,0,14
6000,70,0,8
6000,74,0,15
6000,64,0,10
6000,68,0,12
6530,70,0,16
7000,69,0,12
7000,68,0,12
7000,72,0,14
7000,74,0,7
7000,69,0,16
7000,67,0,10
7200,72,0,14
8000,71,0,12
8000,70,0,10
8000,73,0,14
8000,68,0,17
8000,64,0,8
8000,71,0,14
8000,66,0,10
8500,68,0,13
9000,67,0,13
9000,74,0,9
9000,72,0,12
9000,73,0,15
10000,69,0,17
10000,72,0,12
10000,73,0,12
10000,65,0,13
10000,72,0,17
10000,72,0,11
10000,68,0,12
10000,73,0,16
10000,72,0,13
10000,67,0,12
10500,67,0,12
11000,66,0,12
11000,74,0,10
12000,68,0,12
12000,73,0,12
12000,76,0,12
12000,66,0,12
12000,67,0,13
12000,74,0,16
12000,73,0,12
12000,71,0,12
12000,74,0,12
12000,72,0,12
12000,64,0,12
12000,71,0,12
12000,67,0,12
12000,65,0,12
12000,69,0,4
12000,64,0,13
12000,71,0,6
12000,70,0,13
12000,73,0,13
13000,67,0,8
13000,70,0,12
13000,70,0,16
13000,69,0,10
13000,71,0,9
13800,71,0,14
14000,71,0,12
14000,66,0,12
14000,70,0,14
14000,66,0,12
14000,66,0,12
14000,63,0,12
14000,72,0,12
14000,71,0,12
14500,75,0,12
15000,72,0,12
15000,71,0,14
15000,72,0,14
15000,70,0,12
15000,72,0,8
15000,72,0,14
15000,65,0,14
15000,64,0,12
15000,71,0,12
15000,72,0,12
15000,71,0,9
15000,68,0,14
15000,69,0,12
15000,72,0,11
15000,70,0,17
15000,68,0,16
16000,62,0,14
16000,68,0,8
16000,76,0,15
16000,70,0,12
16000,69,0,12
16000,68,0,8
16000,72,0,14
16000,72,0,13
16000,66,0,12
17000,68,0,12
17000,71,0,12
17000,67,0,14
17000,66,0,12
17000,69,0,12
17000,67,0,12
17000,73,0,12
17000,69,0,12
17000,73,0,12
17000,69,0,14
17000,74,0,16
17000,71,0,13
17000,72,0,12
18000,68,0,15
18000,70,0,16
18000,70,0,16
18000,71,0,16
18000,68,0,12
18000,66,0,13
18000,66,0,17
18000,72,0,12
18000,62,0,12
18000,62,0,16
18000,72,0,14
18000,70,0,12
19000,71,0,16
19000,70,0,12
19000,71,0,14
19000,71,0,7
19000,72,0,12
19000,72,0,12
20000,70,0,14
20000,70,0,16
20000,68,0,10
20000,70,0,16
20000,71,0,12
20000,67,0,10
20000,74,0,12
20000,69,0,12
20000,68,0,16
