id,read,sex,race,ses,momEd
1,45.901,Male,White,-0.29,3
2,52.913,Female,White,-0.34,3
3,39.703,Male,White,0.13,4
4,49.583,Male,White,0.11,5
5,41.877,Female,White,0.96,6
6,37.746,Male,Hispanic,-1.27,1
7,55.556,Male,Hispanic,0.84,3
8,63.076,Male,White,0.4,5
9,60.096,Male,White,0.55,3
10,44.056,Female,White,1.08,5
11,57.023,Female,Black,0.66,5
12,59.747,Female,White,0.69,6
13,46.105,Male,Black,-0.82,3
14,49.403,Male,White,0.02,3
15,56.281,Female,White,1.85,8
16,71.812,Female,White,1.31,7
17,60.461,Female,White,0.06,5
18,51.99,Male,White,0.81,5
19,47.791,Female,White,-0.04,3
20,50.501,Male,Hispanic,0.15,6
21,46.081,Male,White,-0.43,3
22,38.539,Female,White,-0.17,5
23,58.245,Male,Asian,1.77,8
24,69.484,Female,White,0.29,5
25,48.221,Male,White,1.78,9
26,56.837,Male,White,0.19,5
27,68.417,Male,White,1.02,5
28,53.084,Female,Black,0.09,5
29,50.631,Female,White,1.54,7
30,48.401,Female,Hispanic,0.42,5
31,53.194,Male,White,1.41,9
32,45.562,Female,Other,-0.07,5
33,42.768,Male,White,-0.92,2
34,52.941,Female,White,0.65,5
35,63.869,Male,White,1,7
36,48.5,Male,Asian,-0.21,1
37,55.032,Female,White,-0.14,3
38,52.923,Male,White,0.4,5
39,35.398,Female,Hispanic,-0.58,3
40,47.693,Male,White,-0.64,2
41,53.629,Male,White,0.29,6
42,51.251,Male,Hispanic,-1.14,1
43,56.096,Female,White,-0.06,5
44,51.163,Male,Hispanic,-0.08,5
45,61.529,Female,Black,0.92,5
46,80.541,Female,Black,0.64,6
47,65.252,Male,Black,-0.24,5
48,86.907,Female,Asian,0.8,6
49,51.926,Female,White,-0.39,3
50,50.26,Male,White,0.22,5
51,55.259,Male,White,0.56,6
52,57.254,Female,White,-0.1,5
53,50.091,Female,Other,-0.4,3
54,56.985,Male,White,1.92,8
55,52.608,Male,White,-0.15,3
56,39.601,Male,White,0.86,5
57,56.028,Female,White,-0.41,3
58,49.774,Male,White,1.26,6
59,60.565,Female,White,-0.27,3
60,62.44,Female,White,0.3,7
61,52.114,Male,Black,-0.46,2
62,58.265,Male,White,-0.13,3
63,57.168,Male,White,0.54,5
64,52.628,Male,White,-0.32,3
65,46.342,Male,White,0.25,5
66,39.705,Male,Other,-0.8,2
67,53.26,Female,Black,0.46,5
68,56.132,Female,White,0.04,5
69,33.137,Female,White,0.35,3
70,51.014,Female,Other,0.27,2
71,42.226,Male,White,0.07,6
72,41.345,Female,White,-0.31,3
73,60.299,Male,White,-0.47,3
74,38.367,Female,Black,-0.26,5
75,39.639,Male,Asian,0.15,6
76,55.099,Male,White,0.85,8
77,53.86,Male,White,-0.55,3
78,39.757,Male,White,-0.75,6
79,61.44,Female,White,-0.23,4
80,56.136,Female,Black,-0.61,3
81,49.593,Female,Black,0.23,6
82,47.761,Male,Hispanic,0.48,5
83,70.245,Male,White,-0.21,5
84,55.562,Female,White,0.52,3
85,60.905,Male,White,1.07,6
86,48.044,Male,White,-0.47,3
87,46.35,Female,Hispanic,-0.73,3
88,51.079,Male,Hispanic,-0.67,3
89,45.236,Female,Other,-0.52,3
90,46.724,Male,White,-0.12,5
91,50.216,Female,Hispanic,-0.14,3
92,49.168,Female,Hispanic,0.29,4
93,44.867,Male,White,-0.72,3
94,58.005,Female,White,1.87,8
95,55.59,Male,White,-0.63,3
96,58.924,Female,White,0.66,8
97,58.966,Female,White,-0.04,5
98,68.075,Male,White,0.47,6
99,44.58,Male,White,0.02,5
100,44.849,Male,White,-0.76,2
101,58.938,Female,White,1.26,8
102,59.704,Female,White,0.07,5
103,61.651,Male,White,1.77,6
104,46.465,Female,Asian,1.36,3
105,45.254,Female,White,-0.7,2
106,51.03,Male,White,-0.06,5
107,55.376,Male,White,-0.36,3
108,52.034,Female,Black,-0.06,5
109,42.985,Female,White,-0.45,3
110,61.053,Female,White,0.88,8
111,38.214,Female,Black,-0.63,3
112,39.866,Female,Black,-0.91,3
113,41.752,Male,Black,-0.78,2
114,42.886,Male,White,-0.48,2
115,51.988,Female,Black,-0.02,3
116,44.066,Male,White,0.84,4
117,40.669,Female,Black,-0.14,5
118,51.149,Male,Black,-0.22,4
119,66.514,Female,White,0.83,6
120,41.957,Female,Hispanic,-1.03,1
121,54.007,Male,White,0.85,5
122,55.564,Female,White,0.64,6
123,63.046,Male,Other,0.28,5
124,53.2,Male,Hispanic,0.31,5
125,60.403,Female,Hispanic,0.72,3
126,53.728,Male,White,0.44,3
127,47.876,Male,Black,0.27,5
128,58.362,Male,White,-0.32,4
129,56.961,Male,Hispanic,-0.38,3
130,57.292,Female,White,-0.12,5
131,57.714,Male,White,1.24,6
132,60.465,Male,White,0.89,6
133,35.956,Male,Hispanic,0.51,5
134,69.296,Female,White,0.57,6
135,63.799,Female,White,1.3,6
136,55.522,Female,Hispanic,0.13,5
137,50.481,Female,Hispanic,-0.47,4
138,30.437,Male,Hispanic,0.15,5
139,45.361,Female,Hispanic,-1.22,2
140,50.513,Female,Other,-0.51,3
141,66.958,Male,White,-0.45,3
142,50.992,Female,White,1.33,6
143,55.58,Male,White,0.41,6
144,47.637,Female,Hispanic,-0.66,2
145,39.362,Female,Hispanic,-0.27,2
146,52.586,Female,Other,0.18,3
147,38.18,Male,White,-0.58,2
148,77.002,Male,White,0,4
149,47.713,Female,White,0,3
150,47.041,Female,Hispanic,-0.55,3
151,51.115,Female,Hispanic,0.01,5
152,49.276,Male,Hispanic,-0.88,3
153,31.501,Female,Hispanic,-1.26,1
154,61.376,Male,White,-0.2,5
155,48.46,Male,Asian,-0.31,3
156,46.005,Male,Hispanic,-2.33,3
157,32.436,Male,Asian,0.12,5
158,35.639,Male,Hispanic,-1.1,1
159,51.55,Male,Asian,-0.45,3
160,46.565,Female,Hispanic,-0.67,3
161,50.601,Male,Asian,0.34,3
162,46.824,Female,Hispanic,-0.93,2
163,57.003,Male,Hispanic,-0.64,3
164,47.735,Female,Hispanic,-0.3,5
165,25.083,Male,Hispanic,-1.06,2
166,65.832,Male,Hispanic,-0.81,1
167,53.78,Female,Hispanic,-0.26,3
168,43.834,Male,Hispanic,0.86,8
169,60.381,Female,White,1.34,6
170,48.783,Female,Other,0.28,4
171,39.904,Male,Hispanic,-0.01,1
172,42.605,Female,Hispanic,-0.04,5
173,45.83,Male,Hispanic,0.68,5
174,84.171,Male,White,1.77,8
175,46.551,Male,Hispanic,-0.58,3
176,49.76,Male,Hispanic,1.07,6
177,51.891,Male,Other,-0.69,3
178,48.237,Male,Asian,-0.09,3
179,37.293,Female,Other,-0.52,3
180,48.305,Male,Other,-0.75,1
181,33.676,Male,Other,-0.39,3
182,56.411,Female,White,-0.01,5
183,56.166,Male,White,0.21,5
184,50.171,Male,White,0.9,8
185,65.615,Male,White,-0.43,3
186,53.182,Female,White,0.23,5
187,49.752,Female,White,0.29,5
188,65.212,Male,Hispanic,1.55,7
189,52.054,Female,White,-0.29,3
190,45.343,Male,White,-0.57,3
191,47.229,Female,White,1.09,6
192,27.429,Female,White,-0.12,5
193,77.689,Male,White,1.97,8
194,52.237,Male,White,-0.5,3
195,33.879,Male,Hispanic,0.15,5
196,80.075,Male,White,1.68,8
197,41.337,Male,White,0.14,5
198,40.352,Male,Other,-0.5,3
199,39.976,Female,White,0.9,6
200,55.43,Male,White,0.5,5
