rank,school,score,peer,expert_score,gre_verbal,gre_quant,doc_accept,phd_student_faculty_ratio,phd_granted_per_faculty,funded_research,funded_research_per_faculty,enroll
1, Harvard University (MA),100,4.4,4.6,163,159,4.5,3.8,0.9,33.60,764.70,866
2, Stanford University (CA),99,4.6,4.8,162,160,6.1,3.1,0.6,32.00,603.20,339
3, University of California—Los Angeles,96,4.2,4.3,156,152,29.1,7.7,1.4,52.00,1239.10,674
3, University of Pennsylvania,96,4.1,4.5,163,157,5,1.4,0.3,46.40,663.10,1106
3, University of Wisconsin—Madison,96,4.3,4.5,155,153,26.1,3.1,0.4,78.60,491.10,1080
6, Johns Hopkins University (MD),95,4.1,4.1,164,162,27.4,1.4,0.2,42.80,620.60,2393
7," Teachers College, Columbia University (NY)",94,4.3,4.5,159,156,11.4,4.4,1.2,60.10,401.00,4892
7, Vanderbilt University (Peabody) (TN),94,4.5,4.6,162,159,4.9,2.2,0.6,35.60,423.70,902
9, University of Washington,92,4,4.4,155,152,23.7,3.6,0.9,42.40,831.50,1019
10, Northwestern University (IL),89,3.9,4.3,162,158,8.3,1.9,0.3,23.40,709.30,329
11, Arizona State University,88,3.6,3.8,157,150,20.1,1.7,0.5,60.10,607.20,2778
11, University of Texas—Austin,88,4,4.3,155,153,26.5,5,0.7,57.00,527.80,1052
13, New York University (Steinhardt),86,3.9,4.3,158,152,7.3,2.7,0.7,43.20,591.60,1431
14, University of Oregon,85,3.6,4,156,153,16.5,3.8,1,37.50,915.20,544
15, University of Michigan—Ann Arbor,81,4.4,4.6,154,152,15.1,4.6,0.7,18.90,378.00,526
15, University of Southern California (Rossier),81,3.9,4.3,161,157,13.2,11.7,8.4,25.10,1196.80,1598
17, University of Kansas,78,3.8,4.2,156,150,46.1,4.8,0.7,41.00,532.70,1390
18, Ohio State University,77,3.8,4.3,157,155,41,3.4,0.5,30.00,248.30,1174
18, University of California—Berkeley,77,4.2,4.6,157,154,8.4,7.4,1,11.60,446.50,303
18, University of Virginia (Curry),77,4,4.3,159,154,16.4,2.3,0.7,22.30,323.70,983
21, Michigan State University,76,4.2,4.5,156,152,37.4,4.7,1.1,28.70,263.20,1639
21, University of Minnesota—Twin Cities,76,3.7,3.9,157,153,27.6,3.7,1.3,46.40,383.80,2164
23, Boston College (Lynch) (MA),72,3.7,4.2,159,156,8,2.7,0.9,17.60,319.40,769
24, University of Illinois—Urbana-Champaign,70,4,4.1,155,160,24.8,4.4,1,14.50,190.30,809
25, University of California—Irvine,68,3.5,3.8,156,155,17.8,3,0.6,12.30,492.60,190
26, Utah State University,67,2.9,3.2,155,153,25.2,1.1,0.3,46.70,362.00,876
27, University of Connecticut (Neag),66,3.6,4.1,157,155,42.6,2.1,0.3,15.20,226.40,759
27, University of Pittsburgh (PA),66,3.6,3.8,152,147,50,4.8,0.7,26.10,457.80,987
29, University of Colorado—Boulder,65,3.6,3.9,161,154,17.2,2.5,0.6,7.70,239.80,355
29, University of Florida,65,3.7,3.8,155,153,56.5,4.5,1.3,25.10,380.40,1146
31, University of North Carolina—Chapel Hill,64,3.9,4.3,160,155,27.8,4.7,0.9,6.20,155.00,398
32, Indiana University—Bloomington,63,3.8,4.1,153,150,47.2,3.1,0.9,18.60,208.90,869
32, University of Delaware,63,3.3,3.4,155,156,40,1.8,0.4,14.70,407.20,274
32, University of Maryland—College Park,63,3.9,4,159,155,23.9,4.1,0.8,8.10,96.20,905
35, University of Georgia,61,3.7,4.2,154,152,33.7,3,0.7,13.00,80.10,1614
36, Boston University (MA),60,3.5,3.8,163,156,25.4,2.4,0.7,3.70,146.10,561
36, University of California—Davis,60,3.6,4.1,154,149,35,4.2,0.9,8.70,311.40,423
38, George Washington University (DC),59,3.4,4,164,158,58.8,4.3,1.5,9.30,175.50,1514
38, Pennsylvania State University—University Park,59,3.9,4.4,154,154,46.3,3.6,1,3.40,28.80,1656
38, Texas A&M University—College Station,59,3.5,4,151,152,54.5,3.5,1,22.90,212.10,1643
41, University of Massachusetts—Amherst,58,3.5,3.8,156,155,49.1,3.5,0.3,8.00,131.40,549
41, Virginia Commonwealth University,58,3,3.6,154,148,65.4,2.4,0.8,24.70,588.80,807
43, University of Iowa,57,3.5,4,153,153,44.9,5,0.9,11.90,198.00,631
43, University of Missouri,57,3.4,3.7,153,151,22.2,4.9,1,16.20,215.70,1373
43, University of Nebraska—Lincoln,57,3.5,3.5,154,150,25.8,2.6,1,16.80,212.50,978
46, College of William and Mary (VA),56,3.4,4,156,152,56.5,2.3,0.8,6.70,171.00,536
46, Purdue University—West Lafayette (IN),56,3.5,3.8,153,151,50.9,2,0.3,10.90,141.00,750
48, Fordham University (NY),55,3,3.4,166,167,38.1,4.6,2,7.20,247.00,850
48, Georgia State University,55,3,3.5,156,151,17.3,2.4,0.6,22.50,198.70,1327
48, Temple University (PA),55,3.3,3.6,155,150,30.3,4.3,1.2,12.40,287.80,1004
48, University of Illinois—Chicago,55,3.5,3.6,151,148,36.7,3.2,1,11.40,270.30,659
52, Florida State University,54,3.3,3.7,150,151,37.9,4.1,0.9,13.30,181.90,1062
52, Rutgers University,54,3.5,3.8,153,148,55,2.5,0.9,8.50,188.90,1068
52, University of California—Santa Barbara (Gevirtz),54,3.4,3.8,156,152,17.3,4.1,1.2,3.80,87.10,273
55, North Carolina State University—Raleigh,53,3.3,3.4,154,151,42.1,2.7,0.7,14.60,196.80,1034
55, Washington University in St. Louis (MO),53,3.4,3.7,155,155,13,1.2,0.3,0.10,5.70,29
57, Boise State University (ID),52,2.7,3.3,159,152,23.2,0.9,0.2,9.70,201.90,1801
57, San Diego State University (CA),52,3.2,3.4,149,143,54.1,1.1,0.4,22.50,341.40,1378
57, Syracuse University (NY),52,3.4,3.8,153,150,33.3,2.5,0.6,5.00,92.20,567
57, University of Arizona,52,3.7,3.9,153,147,72.6,3.6,0.8,7.10,122.00,757
57, University of Vermont,52,3.2,3.4,157,151,60,1,0.3,7.60,210.60,276
62, George Mason University (VA),51,3.2,3.6,154,150,64.1,2.6,0.6,12.90,179.40,2286
