team,league,fci_2013,fci_2014
Anaheim Ducks,NHL,284.96,288.88
Arizona Cardinals,NFL,414.23,436.09
Arizona Coyotes,NHL,281.32,310.71
Arizona Diamondbacks,MLB,151.55,126.89
Atlanta Braves,MLB,170.78,171.62
Atlanta Falcons,NFL,456.83,437.33
Atlanta Hawks,NBA,240.04,245.39
Baltimore Orioles,MLB,169.06,173.39
Baltimore Ravens,NFL,547.66,547.26
Boston Bruins,NHL,444.13,509.8
Boston Celtics,NBA,434.96,444.16
Boston Red Sox,MLB,336.99,350.78
Brooklyn Nets,NBA,382,404.6
Buffalo Bills,NFL,365.98,383.05
Buffalo Sabres,NHL,293.76,290.9
Calgary Flames,NHL,366.85,352.12
Carolina Hurricanes,NHL,303.63,341.17
Carolina Panthers,NFL,365.38,404.78
Charlotte Hornets,NBA,203.06,212.4
Chicago Bears,NFL,577.42,596.76
Chicago Blackhawks,NHL,437.8,463.2
Chicago Bulls,NBA,456.6,477.32
Chicago Cubs,MLB,298.2,304.64
Chicago White Sox,MLB,231.18,210.18
Cincinnati Bengals,NFL,390.85,411.04
Cincinnati Reds,MLB,165.39,168.12
Cleveland Browns,NFL,343.8,348.8
Cleveland Cavaliers,NBA,271.74,271.74
Cleveland Indians,MLB,157.36,162.24
Colorado Avalanche,NHL,266.99,295.64
Colorado Rockies,MLB,196.6,201.6
Columbus Blue Jackets,NHL,281.24,288.62
Dallas Cowboys,NFL,634.78,634.8
Dallas Mavericks,NBA,321.18,312.2
Dallas Stars,NHL,263.11,263.11
Denver Broncos,NFL,458.48,482.22
Denver Nuggets,NBA,319.1,322.5
Detroit Lions,NFL,392.38,411.94
Detroit Pistons,NBA,262.4,261.2
Detroit Red Wings,NHL,365.86,307.54
Detroit Tigers,MLB,207.42,219.88
Edmonton Oilers,NHL,389.64,393.75
Florida Panthers,NHL,285.42,255.55
Golden State Warriors,NBA,324.08,336.52
Green Bay Packers,NFL,466.32,486.82
Houston Astros,MLB,224.33,215.9
Houston Rockets,NBA,336.06,369.86
Houston Texans,NFL,482.06,491.11
Indiana Pacers,NBA,227.36,232.44
Indianapolis Colts,NFL,458.27,458.27
Jacksonville Jaguars,NFL,388.76,345.58
Kansas City Chiefs,NFL,374.68,419.5
Kansas City Royals,MLB,172.32,191.91
Los Angeles Angels of Anaheim,MLB,196.16,195.6
Los Angeles Clippers,NBA,395.2,435.72
Los Angeles Dodgers,MLB,204.95,217.69
Los Angeles Kings,NHL,382,384.99
Los Angeles Lakers,NBA,542,541
Memphis Grizzlies,NBA,212.16,223.92
Miami Dolphins,NFL,409.46,398.12
Miami Heat,NBA,472.2,468.2
Miami Marlins,MLB,230.05,221.02
Milwaukee Brewers,MLB,176.8,176.84
Milwaukee Bucks,NBA,309.3,325.85
Minnesota Timberwolves,NBA,273.98,281.06
Minnesota Twins,MLB,221.36,215.36
Minnesota Vikings,NFL,446.26,490.62
Minnesota Wild,NHL,376.55,383.25
Montreal Canadiens,NHL,431.34,410.04
Nashville Predators,NHL,320.23,343.14
New England Patriots,NFL,611.26,624.7
New Jersey Devils,NHL,313.85,313.85
New Orleans Pelicans,NBA,208.48,221.8
New Orleans Saints,NFL,461.96,507.49
New York Giants,NFL,582.76,582.76
New York Islanders,NHL,381,299.59
New York Jets,NFL,577.12,553.63
New York Knicks,NBA,659.92,676.42
New York Mets,MLB,223.7,229.68
New York Rangers,NHL,443.06,479.48
New York Yankees,MLB,324.3,337.2
Oakland Athletics,MLB,180.48,200.36
Oakland Raiders,NFL,401.7,420.7
Oklahoma City Thunder,NBA,295.4,295.4
Orlando Magic,NBA,263.1,263.1
Ottawa Senators,NHL,259.92,296.19
Philadelphia 76ers,NBA,266.4,278.9
Philadelphia Eagles,NFL,492.06,530.76
Philadelphia Flyers,NHL,367.49,386.11
Philadelphia Phillies,MLB,257.16,258.18
Phoenix Suns,NBA,344.92,341.9
Pittsburgh Penguins,NHL,378.07,390.84
Pittsburgh Pirates,MLB,164.84,169.28
Pittsburgh Steelers,NFL,468.42,512.88
Portland Trail Blazers,NBA,308.18,317.08
Sacramento Kings,NBA,268.28,280.28
San Antonio Spurs,NBA,339,340.6
San Diego Chargers,NFL,479.21,478.19
San Diego Padres,MLB,151.94,153.45
San Francisco 49ers,NFL,462.66,641.5
San Francisco Giants,MLB,237.87,239.51
San Jose Sharks,NHL,340.32,344.42
Seattle Mariners,MLB,203.78,207.8
Seattle Seahawks,NFL,433.86,472.1
St. Louis Blues,NHL,308.55,327.32
St. Louis Cardinals,MLB,230.94,233.86
St. Louis Rams,NFL,434.95,427.44
Tampa Bay Buccaneers,NFL,366.76,388.36
Tampa Bay Lightning,NHL,267.92,281.02
Tampa Bay Rays,MLB,155.54,170.02
Tennessee Titans,NFL,393.11,404.58
Texas Rangers,MLB,196.13,203.14
Toronto Blue Jays,MLB,254.21,217.69
Toronto Maple Leafs,NHL,615.62,572.58
Toronto Raptors,NBA,321.63,289.71
Utah Jazz,NBA,280.98,275.74
Vancouver Canucks,NHL,479.53,456.35
Washington Capitals,NHL,393.48,411.94
Washington Nationals,MLB,236.46,227.96
Washington Redskins,NFL,561.21,597.51
Washington Wizards,NBA,249.22,258.78
Winnipeg Jets,NHL,419.04,413.04
