title,subtitle,series,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,month_read_num,year_read,bookshelf
"""13 1/2""",,,"Barr, Nevada",3,3.3,Vanguard Press,Hardcover,320,2009,May,5,2011,read
"""The Secret Diary of Hendrik Groen, 83 1/2 Years Old""",,,"Groen, Hendrik",4,3.95,Grand Central Publishing,Hardcover,384,2014,August,8,2017,read
18 and Life on Skid Row,,,"Bach, Sebastian",3,3.68,Dey Street Books,Hardcover,433,2016,April,4,2020,read
A Choice of Weapons,,,"Parks, Gordon",4,4.29,Minnesota Historical Society Press,Paperback,192,2010,March,3,2020,read
A Civil War,Army vs. Navy - A Year Inside College Football's Purest Rivalry,,"Feinstein, John",4,4.23,Back Bay Books,Hardcover,464,2014,September,9,2014,read
A Clash of Kings ,,"A Song of Ice and Fire, #2","Martin, George R.R.",5,4.39,Bantam,Paperback,778,1998,August,8,2015,read
A Dance with Dragons,,"A Song of Ice and Fire, #5","Martin, George R.R.",4,4.32,Bantam,Paperback,1125,2011,June,6,2016,read
A Degree of Mastery,A Journey through Book Arts Apprenticeship,,"Tremmel Wilcox, Annie",4,3.88,Penguin,Paperback,210,1999,November,11,2018,read
A Discovery of Witches,,"All Souls Trilogy, #1","Harkness, Deborah",3,4,Viking,Hardcover,579,2011,August,8,2018,read
A Fan's Notes,,,"Exley, Frederick",5,4.08,Vintage,Paperback,385,1968,January,1,2016,read
A Feast for Crows,,"A Song of Ice and Fire, #4","Martin, George R.R.",4,4.06,Bantam,Paperback,1060,2006,November,11,2015,read
A Fool and His Monet,,"Serena Jones Mystery, #1","Orchard, Sandra",4,3.73,Revell,Paperback,336,2016,November,11,2019,read
A Game of Thrones,,"A Song of Ice and Fire, #1","Martin, George R.R.",5,4.45,Harper,Paperback,801,1996,June,6,2015,read
A Gathering of Old Men,,,Ernest J. Gaines,5,4.03,Vintage,Paperback,214,1983,November,11,2017,read
A Good Life,Newspapering and Other Adventures,,"Bradlee, Ben",4,3.92,Simon & Schuster,Paperback,512,1995,October,10,2018,read
A March to Madness,The View from the Floor in the Atlantic Coast Conference,,"Feinstein, John",3,4.03,Back Bay Books,Hardcover,464,1998,December,12,2010,read
A Mind at Play,How Claude Shannon Invented the Information Age,,"Soni, Jimmy",4,4.16,Simon & Schuster,Hardcover,384,2017,December,12,2017,read
A Multitude of Sins,,,"Ford, Richard",3,3.74,Vintage,Paperback,304,2001,March,3,2016,read
A Passion to Win,,,"Nanne, Lou",3,3.2,Triumph Books,Hardcover,256,2010,November,11,2013,read
A Question of Attraction,,,"Nicholls, David",5,3.57,Villard,Hardcover,352,2003,July,7,2012,read
A Short History of Tractors in Ukrainian,,,"Lewycka, Marina",5,3.4,Penguin Group USA,Hardcover,294,2005,January,1,2020,read
A Skeptic's Guide to Writers' Houses,,,"Trubek, Anne",4,3.43,University of Pennsylvania Press,Hardcover,165,2010,September,9,2017,read
A Spot of Bother,,,"Haddon, Mark",4,3.45,Doubleday,Hardcover,354,2006,June,6,2015,read
A Storm of Swords,,"A Song of Ice and Fire, #3","Martin, George R.R.",5,4.54,Bantam,Paperback,1177,2003,September,9,2015,read
A Stroke of Midnight,,"Merry Gentry, #4","Hamilton, Laurell K.",3,4.05,Ballantine Books,Hardcover,366,2005,August,8,2015,read
A Three Dog Life,,,"Thomas, Abigail",4,3.73,Harcourt,Paperback,190,2006,January,1,2017,read
A Time to Kill,,"Jake Brigance, #1","Grisham, John",4,4.06,Doubleday,Hardcover,487,1989,March,3,2017,read
A Velocity of Being,Letters to A Young Reader,,"Popova, Maria",4,4.57,Enchanted Lion Books,Hardcover,272,2018,November,11,2019,read
A Visit from the Goon Squad,,,"Egan, Jennifer",4,3.67,Anchor Books,Paperback,341,2011,July,7,2020,read
A Wanted Man,,"Jack Reacher, #17","Child, Lee",3,4.02,Bantam,Paperback,528,2013,December,12,2019,read
A Week on the Concord and Merrimac Rivers,,,"Thoreau, Henry David",3,3.71,Andesite Press,Paperback,374,1849,February,2,2018,read
A Wolverine Is Eating My Leg,,,"Cahill, Tim",4,3.99,Vintage,Paperback,320,1989,May,5,2020,read
Abraham Lincoln,Vampire Hunter,,"Grahame-Smith, Seth",,3.69,Grand Central Publishing,Hardcover,336,2010,December,12,2012,quit-reading
Academic Duty,,,"Kennedy, Donald",5,3.74,Harvard University Press,Hardcover,310,1997,July,7,2013,read
Academy X,,,"Trees, Andrew",4,2.64,Bloomsbury,Hardcover,224,2006,June,6,2011,read
Against All Enemies,,"Max Moore, #1","Clancy, Tom",4,3.95,Putnam,Hardcover,756,2011,December,12,2012,read
Aleister Crowley,The Beast Demystified,,"Hutchinson, Roger",,3.15,Mainstream Publishing,Paperback,224,1998,September,9,2013,quit-reading
Algorithms to Live By,The Computer Science of Human Decisions,,"Christian, Brian",,4.16,Henry Holt and Co.,Hardcover,368,2016,July,7,2019,read
All I Want is Everything,,"Gossip Girl, #3","Ziegesar, Cecily von",3,3.55,"Little, Brown and Company",Paperback,215,2003,April,4,2020,read
All the Sad Young Literary Men,,,"Gessen, Keith",4,2.9,Viking,Hardcover,242,2008,November,11,2011,read
Always Looking,Essays on Art,,"Updike, John",,3.78,Knopf,Hardcover,224,2012,April,4,2015,quit-reading
American Assassin,,"Mitch Rapp, #1","Flynn, Vince",4,4.23,Atria Books,Hardcover,435,2010,January,1,2016,read
American Gods,,"American Gods, #1","Gaiman, Neil",3,4.1,Headline Review,Hardcover,656,2001,January,1,2015,read
Amy and Isabelle,,,"Strout, Elizabeth",4,3.79,Vintage,Paperback,304,1998,October,10,2018,read
An Accidental Statistician,The Life and Memories of George E. P. Box,,"Box, George E.P.",4,3.35,Wiley,Hardcover,275,2013,June,6,2013,read
And Yet ...,,,"Hitchens, Christopher",4,4.01,Simon & Schuster,Hardcover,352,2013,March,3,2019,read
Angelology,,"Angelology, #1","Trussoni, Danielle",4,3.39,Viking,Hardcover,464,2010,May,5,2011,read
Angelopolis,,"Angelology, #2","Trussoni, Danielle",4,3.34,Penguin,Hardcover,320,2013,April,4,2013,read
Any Girl Who Loves The Beatles Is Bound To Break Your Heart,,,"Pollack, Nick",4,3.52,Independent,Paperback,235,2017,July,7,2019,read
Anything Is Possible,,"Amgash, #2","Strout, Elizabeth",3,3.75,Random House Trade,Paperback,304,2018,October,10,2019,read
Apathy for the Devil,A 1970s Memoir,,"Kent, Nick",4,3.8,Faber & Faber,Paperback,408,2010,November,11,2018,read
Archimedes Codex,,,"Netz, Reviel",3,3.85,Weidenfeld & Nicolson,Hardcover,305,2007,January,1,2011,read
"Are You There, Vodka? It's Me, Chelsea",,,"Handler, Chelsea",3,3.84,Harper,Hardcover,264,2007,April,4,2011,read
Armageddon in Retrospect,,,"Vonnegut, Kurt",4,3.92,G.P. Putnam's Sons,Hardcover,234,2008,March,3,2015,read
At Paradise Gate,,,"Smiley, Jane",3,3.21,Free Press,Paperback,224,1998,October,10,2019,read
At Random,The Reminiscences of Bennett Cerf,,"Cerf, Bennett",4,4.16,Random House,Hardcover,306,1977,April,4,2020,read
Atonement,,,"McEwan, Ian",,3.85,Nan A. Talese,Hardcover,351,2001,May,5,2013,quit-reading
Attachments,,,"Rowell, Rainbow",3,3.92,Dutton,Hardcover,323,2011,June,6,2017,read
Bacchus & Me,Adventures in the Wine Cellar,,"McInerney, Jay",,3.45,Lyons Press,Hardcover,308,2000,October,10,2013,quit-reading
Back in the World,,,"Wolff, Tobias",3,4.08,Vintage,Paperback,224,1985,December,12,2016,read
Bad Dog,A Love Story,,"Kihn, Martin",5,3.79,Pantheon,Hardcover,224,2011,March,3,2017,read
Bad Dogs Have More Fun,"Selected Writings on Family, Animals, and Life from The Philadelphia Inquirer",,"Grogan, John",3,3.49,Vanguard Press,Hardcover,247,2007,October,10,2017,read
Bag Men,A Novel,,"Flood, John",3,3.23,W. W. Norton & Company,Hardcover,256,1997,June,6,2011,read
Baseball Hacks,Tips & Tools for Analyzing and Winning with Statistics,,"Adler, Joseph",4,3.48,O'Reilly Media,Paperback,472,2006,July,7,2011,read
Battle Cry of Freedom,The Civil War Era,,"McPherson, James M.",3,4.34,Ballantine Books,Paperback,908,1988,April,4,2017,read
Beatrice and Virgil,,,"Martel, Yann",2,3.15,Spiegel & Grau,Hardcover,213,2010,October,10,2018,read
Between a Heart and a Rock Place,,,"Benatar, Pat",3,3.64,William Morrow & Company,Hardcover,247,2010,October,10,2015,read
Between You & Me,Confessions of a Comma Queen,,"Norris, Mary",5,3.54,W. W. Norton & Company,Hardcover,228,2015,April,4,2015,read
Big Little Lies,,,"Moriarty, Liane",4,4.27,Berkley,Paperback,492,2014,July,7,2020,read
Bird by Bird,Some Instructions on Writing and Life,,"Lamott, Anne",4,4.24,Anchor,Paperback,237,1995,July,7,2019,read
Blades of Glory,The True Story of a Young Team Bred to Win,,"Rosengren, John",4,3.88,Sourcebooks,Paperback,354,2003,April,4,2018,read
Blind Submission,,,"Ginsberg, Debra",3,3.29,Shaye Areheart Books,Hardcover,328,2006,September,9,2011,read
Blood Memory,,,"Iles, Greg",3,4.13,Pocket Books,Paperback,496,2012,February,2,2020,read
"Blood, Bones, and Butter",The Inadvertent Education of a Reluctant Chef,,"Hamilton, Gabrielle",4,3.73,Random House,Hardcover,291,2001,December,12,2017,read
Bonk,The Curious Coupling of Science and Sex,,"Roach, Mary",4,3.81,W. W. Norton & Company,Hardcover,319,2008,June,6,2011,read
Books,,,"McMurtry, Larry",4,3.15,Simon & Schuster,Hardcover,259,2008,April,4,2015,read
Bridge of Sighs,,,"Russo, Richard",5,3.77,Knopf,Hardcover,528,2007,October,10,2013,read
Bright Shark,,,"Ballard, Robert D.",2,3.41,Island Books,Paperback,528,1992,July,7,2016,read
"Bright, Precious Days",,,"McInerney, Jay",4,3.59,Knopf,Hardcover,416,2016,August,8,2017,read
Brightness Falls,,,"McInerney, Jay",4,3.71,Knopf,Hardcover,415,1992,June,6,2014,read
