homework,achievement
2.00,54.00
0.00,53.00
4.00,53.00
0.00,56.00
2.00,59.00
0.00,30.00
1.00,49.00
0.00,54.00
3.00,37.00
0.00,49.00
4.00,55.00
7.00,50.00
3.00,45.00
1.00,44.00
1.00,60.00
0.00,36.00
3.00,53.00
0.00,22.00
1.00,56.00
3.00,54.00
3.00,75.00
0.00,37.00
2.00,42.00
0.00,64.00
1.00,61.00
4.00,57.00
1.00,53.00
4.00,63.00
3.00,75.00
1.00,53.00
1.00,54.00
3.00,64.00
3.00,54.00
5.00,59.00
2.00,48.00
5.00,65.00
1.00,57.00
3.00,48.00
2.00,54.00
2.00,62.00
0.00,53.00
2.00,61.00
5.00,56.00
0.00,32.00
2.00,50.00
2.00,44.00
1.00,62.00
2.00,39.00
1.00,61.00
4.00,51.00
0.00,36.00
0.00,38.00
4.00,38.00
10.00,59.00
1.00,46.00
1.00,55.00
2.00,48.00
2.00,54.00
1.00,41.00
2.00,61.00
2.00,52.00
1.00,63.00
2.00,25.00
2.00,64.00
3.00,72.00
2.00,65.00
0.00,41.00
0.00,29.00
3.00,39.00
2.00,70.00
5.00,68.00
5.00,38.00
1.00,59.00
0.00,29.00
0.00,49.00
2.00,39.00
2.00,45.00
3.00,74.00
0.00,41.00
2.00,53.00
4.00,71.00
0.00,41.00
3.00,63.00
1.00,34.00
2.00,61.00
3.00,51.00
4.00,62.00
4.00,55.00
4.00,64.00
2.00,47.00
1.00,48.00
6.00,47.00
3.00,44.00
5.00,52.00
6.00,50.00
4.00,48.00
3.00,58.00
2.00,39.00
2.00,41.00
1.00,51.00
