gpa,parentEd,homework
78,13,2
79,14,6
79,13,1
89,13,5
82,16,3
77,13,4
88,13,5
70,13,3
86,15,5
80,14,5
76,16,1
72,13,5
66,12,3
79,14,4
76,10,4
80,20,6
91,15,8
85,16,6
79,13,8
82,14,3
94,12,8
91,12,6
80,14,5
73,14,7
77,12,5
76,16,5
84,12,3
81,16,5
97,16,10
80,15,6
74,16,5
83,15,11
78,13,6
64,17,7
82,13,4
81,17,1
73,13,4
87,13,7
81,14,2
86,11,4
92,14,4
79,13,1
69,15,4
66,14,5
67,13,7
76,13,7
83,13,6
73,15,3
85,15,6
80,17,5
83,13,4
82,15,3
90,12,7
69,12,5
95,17,8
79,13,2
72,13,3
83,16,7
81,12,4
86,15,5
78,11,2
84,13,9
81,14,5
72,12,4
64,12,5
83,14,8
94,14,5
77,13,6
80,14,5
74,18,5
89,16,8
87,15,6
82,16,7
87,15,4
71,12,2
88,17,5
80,13,7
89,16,6
87,15,2
72,10,5
79,17,4
93,14,7
100,18,7
90,13,4
69,10,4
85,14,5
75,14,7
82,12,2
72,10,2
87,14,5
81,15,7
80,15,9
79,17,7
79,14,5
94,17,8
71,11,4
77,14,8
68,15,4
87,16,6
74,12,4
