Day,time,hours,month
1,8:51,8.85,Jan
2,8:52,8.87,Jan
3,8:53,8.88,Jan
4,8:54,8.90,Jan
5,8:55,8.92,Jan
6,8:56,8.93,Jan
7,8:58,8.97,Jan
8,8:59,8.98,Jan
9,9:00,9.00,Jan
10,9:02,9.03,Jan
11,9:03,9.05,Jan
12,9:05,9.08,Jan
13,9:07,9.12,Jan
14,9:08,9.13,Jan
15,9:10,9.17,Jan
16,9:12,9.20,Jan
17,9:14,9.23,Jan
18,9:16,9.27,Jan
19,9:18,9.30,Jan
20,9:20,9.33,Jan
21,9:22,9.37,Jan
22,9:24,9.40,Jan
23,9:26,9.43,Jan
24,9:28,9.47,Jan
25,9:31,9.52,Jan
26,9:33,9.55,Jan
27,9:35,9.58,Jan
28,9:38,9.63,Jan
29,9:40,9.67,Jan
30,9:43,9.72,Jan
31,9:45,9.75,Jan
32,9:48,9.80,Feb
33,9:51,9.85,Feb
34,9:53,9.88,Feb
35,9:56,9.93,Feb
36,9:59,9.98,Feb
37,10:01,10.02,Feb
38,10:04,10.07,Feb
39,10:07,10.12,Feb
40,10:10,10.17,Feb
41,10:12,10.20,Feb
42,10:15,10.25,Feb
43,10:18,10.30,Feb
44,10:21,10.35,Feb
45,10:24,10.40,Feb
46,10:27,10.45,Feb
47,10:30,10.50,Feb
48,10:33,10.55,Feb
49,10:36,10.60,Feb
50,10:39,10.65,Feb
51,10:42,10.70,Feb
52,10:45,10.75,Feb
53,10:48,10.80,Feb
54,10:51,10.85,Feb
55,10:54,10.90,Feb
56,10:57,10.95,Feb
57,11:00,11.00,Feb
58,11:03,11.05,Feb
59,11:06,11.10,Feb
60,11:09,11.15,Mar
61,11:12,11.20,Mar
62,11:15,11.25,Mar
63,11:18,11.30,Mar
64,11:22,11.37,Mar
65,11:25,11.42,Mar
66,11:28,11.47,Mar
67,11:31,11.52,Mar
68,11:34,11.57,Mar
69,11:37,11.62,Mar
70,11:40,11.67,Mar
71,11:44,11.73,Mar
72,11:47,11.78,Mar
73,11:50,11.83,Mar
74,11:53,11.88,Mar
75,11:56,11.93,Mar
76,11:59,11.98,Mar
77,12:02,12.03,Mar
78,12:06,12.10,Mar
79,12:09,12.15,Mar
80,12:12,12.20,Mar
81,12:15,12.25,Mar
82,12:18,12.30,Mar
83,12:21,12.35,Mar
84,12:25,12.42,Mar
85,12:28,12.47,Mar
86,12:31,12.52,Mar
87,12:34,12.57,Mar
88,12:37,12.62,Mar
89,12:40,12.67,Mar
90,12:43,12.72,Mar
91,12:46,12.77,Apr
92,12:50,12.83,Apr
93,12:53,12.88,Apr
94,12:56,12.93,Apr
95,12:59,12.98,Apr
96,13:02,13.03,Apr
97,13:05,13.08,Apr
98,13:08,13.13,Apr
99,13:11,13.18,Apr
100,13:14,13.23,Apr
101,13:17,13.28,Apr
102,13:20,13.33,Apr
103,13:23,13.38,Apr
104,13:26,13.43,Apr
105,13:29,13.48,Apr
106,13:32,13.53,Apr
107,13:35,13.58,Apr
108,13:38,13.63,Apr
109,13:41,13.68,Apr
110,13:44,13.73,Apr
111,13:47,13.78,Apr
112,13:50,13.83,Apr
113,13:53,13.88,Apr
114,13:56,13.93,Apr
115,13:59,13.98,Apr
116,14:02,14.03,Apr
117,14:04,14.07,Apr
118,14:07,14.12,Apr
119,14:10,14.17,Apr
120,14:13,14.22,Apr
121,14:16,14.27,May
122,14:18,14.30,May
123,14:21,14.35,May
124,14:24,14.40,May
125,14:26,14.43,May
126,14:29,14.48,May
127,14:31,14.52,May
128,14:34,14.57,May
129,14:36,14.60,May
130,14:39,14.65,May
131,14:41,14.68,May
132,14:44,14.73,May
133,14:46,14.77,May
134,14:48,14.80,May
135,14:51,14.85,May
136,14:53,14.88,May
137,14:55,14.92,May
138,14:57,14.95,May
139,14:59,14.98,May
140,15:02,15.03,May
141,15:04,15.07,May
142,15:06,15.10,May
143,15:08,15.13,May
144,15:09,15.15,May
145,15:11,15.18,May
146,15:13,15.22,May
147,15:15,15.25,May
148,15:16,15.27,May
149,15:18,15.30,May
150,15:20,15.33,May
151,15:21,15.35,May
152,15:22,15.37,Jun
153,15:24,15.40,Jun
154,15:25,15.42,Jun
155,15:26,15.43,Jun
156,15:28,15.47,Jun
157,15:29,15.48,Jun
158,15:30,15.50,Jun
159,15:31,15.52,Jun
160,15:32,15.53,Jun
161,15:32,15.53,Jun
162,15:33,15.55,Jun
163,15:34,15.57,Jun
164,15:34,15.57,Jun
165,15:35,15.58,Jun
166,15:35,15.58,Jun
167,15:36,15.60,Jun
168,15:36,15.60,Jun
169,15:36,15.60,Jun
170,15:37,15.62,Jun
171,15:37,15.62,Jun
172,15:37,15.62,Jun
173,15:37,15.62,Jun
174,15:37,15.62,Jun
175,15:36,15.60,Jun
176,15:36,15.60,Jun
177,15:36,15.60,Jun
178,15:35,15.58,Jun
179,15:35,15.58,Jun
180,15:34,15.57,Jun
181,15:34,15.57,Jun
182,15:33,15.55,Jul
183,15:32,15.53,Jul
184,15:31,15.52,Jul
185,15:30,15.50,Jul
186,15:29,15.48,Jul
187,15:28,15.47,Jul
188,15:27,15.45,Jul
189,15:26,15.43,Jul
190,15:25,15.42,Jul
191,15:24,15.40,Jul
192,15:22,15.37,Jul
193,15:21,15.35,Jul
194,15:19,15.32,Jul
195,15:18,15.30,Jul
196,15:16,15.27,Jul
197,15:14,15.23,Jul
198,15:13,15.22,Jul
199,15:11,15.18,Jul
200,15:09,15.15,Jul
201,15:07,15.12,Jul
202,15:05,15.08,Jul
203,15:03,15.05,Jul
204,15:01,15.02,Jul
205,14:59,14.98,Jul
206,14:57,14.95,Jul
207,14:55,14.92,Jul
208,14:53,14.88,Jul
209,14:51,14.85,Jul
210,14:48,14.80,Jul
211,14:46,14.77,Jul
212,14:44,14.73,Jul
213,14:41,14.68,Aug
214,14:39,14.65,Aug
215,14:37,14.62,Aug
216,14:34,14.57,Aug
217,14:32,14.53,Aug
218,14:29,14.48,Aug
219,14:26,14.43,Aug
220,14:24,14.40,Aug
221,14:21,14.35,Aug
222,14:19,14.32,Aug
223,14:16,14.27,Aug
224,14:13,14.22,Aug
225,14:10,14.17,Aug
226,14:08,14.13,Aug
227,14:05,14.08,Aug
228,14:02,14.03,Aug
229,13:59,13.98,Aug
230,13:57,13.95,Aug
231,13:54,13.90,Aug
232,13:51,13.85,Aug
233,13:48,13.80,Aug
234,13:45,13.75,Aug
235,13:42,13.70,Aug
236,13:39,13.65,Aug
237,13:36,13.60,Aug
238,13:33,13.55,Aug
239,13:30,13.50,Aug
240,13:27,13.45,Aug
241,13:24,13.40,Aug
242,13:21,13.35,Aug
243,13:18,13.30,Aug
244,13:15,13.25,Sep
245,13:12,13.20,Sep
246,13:09,13.15,Sep
247,13:06,13.10,Sep
248,13:03,13.05,Sep
249,13:00,13.00,Sep
250,12:57,12.95,Sep
251,12:54,12.90,Sep
252,12:51,12.85,Sep
253,12:48,12.80,Sep
254,12:45,12.75,Sep
255,12:42,12.70,Sep
256,12:39,12.65,Sep
257,12:36,12.60,Sep
258,12:33,12.55,Sep
259,12:30,12.50,Sep
260,12:26,12.43,Sep
261,12:23,12.38,Sep
262,12:20,12.33,Sep
263,12:17,12.28,Sep
264,12:14,12.23,Sep
265,12:11,12.18,Sep
266,12:08,12.13,Sep
267,12:05,12.08,Sep
268,12:02,12.03,Sep
269,11:59,11.98,Sep
270,11:55,11.92,Sep
271,11:52,11.87,Sep
272,11:49,11.82,Sep
273,11:46,11.77,Sep
274,11:43,11.72,Oct
275,11:40,11.67,Oct
276,11:37,11.62,Oct
277,11:34,11.57,Oct
278,11:31,11.52,Oct
279,11:28,11.47,Oct
280,11:25,11.42,Oct
281,11:21,11.35,Oct
282,11:18,11.30,Oct
283,11:15,11.25,Oct
284,11:12,11.20,Oct
285,11:09,11.15,Oct
286,11:06,11.10,Oct
287,11:03,11.05,Oct
288,11:00,11.00,Oct
289,10:57,10.95,Oct
290,10:54,10.90,Oct
291,10:51,10.85,Oct
292,10:48,10.80,Oct
293,10:45,10.75,Oct
294,10:42,10.70,Oct
295,10:39,10.65,Oct
296,10:36,10.60,Oct
297,10:33,10.55,Oct
298,10:30,10.50,Oct
299,10:27,10.45,Oct
300,10:24,10.40,Oct
301,10:22,10.37,Oct
302,10:19,10.32,Oct
303,10:16,10.27,Oct
304,10:13,10.22,Oct
305,10:10,10.17,Nov
306,10:08,10.13,Nov
307,10:05,10.08,Nov
308,10:02,10.03,Nov
309,9:59,9.98,Nov
310,9:57,9.95,Nov
311,9:54,9.90,Nov
312,9:51,9.85,Nov
313,9:49,9.82,Nov
314,9:46,9.77,Nov
315,9:44,9.73,Nov
316,9:41,9.68,Nov
317,9:39,9.65,Nov
318,9:36,9.60,Nov
319,9:34,9.57,Nov
320,9:32,9.53,Nov
