id,iron,food,pot
1,2.4,Legumes,Aluminum
2,2.17,Legumes,Aluminum
3,2.41,Legumes,Aluminum
4,2.34,Legumes,Aluminum
5,2.41,Legumes,Clay
6,2.43,Legumes,Clay
7,2.57,Legumes,Clay
8,2.48,Legumes,Clay
9,3.69,Legumes,Iron
10,3.43,Legumes,Iron
11,3.84,Legumes,Iron
12,3.72,Legumes,Iron
13,1.77,Meat,Aluminum
14,2.36,Meat,Aluminum
15,1.96,Meat,Aluminum
16,2.14,Meat,Aluminum
17,2.27,Meat,Clay
18,1.28,Meat,Clay
19,2.48,Meat,Clay
20,2.68,Meat,Clay
21,5.27,Meat,Iron
22,5.17,Meat,Iron
23,4.06,Meat,Iron
24,4.22,Meat,Iron
25,1.03,Vegetables,Aluminum
26,1.53,Vegetables,Aluminum
27,1.07,Vegetables,Aluminum
28,1.3,Vegetables,Aluminum
29,1.55,Vegetables,Clay
30,0.79,Vegetables,Clay
31,1.68,Vegetables,Clay
32,1.82,Vegetables,Clay
33,2.45,Vegetables,Iron
34,2.99,Vegetables,Iron
35,2.8,Vegetables,Iron
36,2.92,Vegetables,Iron
