id,name,gradRate,public,sat,tuition
1,Augsburg College,65.2,0,1030,39294
3,Bethany Lutheran College,52.6,0,1065,30480
4,"Bethel University, Saint Paul, MN",73.3,0,1145,39400
5,Carleton College,92.6,0,1400,54265
6,College of Saint Benedict,81.1,0,1185,43198
7,Concordia College at Moorhead,69.4,0,1145,36590
8,Concordia University-Saint Paul,47.9,0,990,37795
9,Crossroads College,26.9,0,970,25345
10,Crown College,51.3,0,1030,33210
11,Gustavus Adolphus College,81.7,0,1225,43800
12,Hamline University,67.8,0,1090,41085
13,Macalester College,87.2,0,1355,50984
14,Martin Luther College,72.8,0,1125,19450
15,Minneapolis College of Art and Design,69.6,0,1105,41420
18,North Central University,40.4,0,1010,25698
19,"Northwestern College, Saint Paul, MN",63.6,0,1105,35400
20,Oak Hills Christian College,27.3,0,890,24805
22,Saint Johns University,79.9,0,1185,41920
23,Saint Mary's University of Minnesota,62.4,0,1070,35700
25,St Catherine University,65.4,0,1050,41876
26,St Olaf College,84.9,0,1285,47200
27,The College of Saint Scholastica,63.5,0,1030,38756
32,"University of St Thomas, Saint Paul, MN",74.3,0,1165,44630
2,Bemidji State University,42.3,1,1010,18057
16,Minnesota State University Moorhead,44.7,1,1030,16800
17,Minnesota State University-Mankato,49.6,1,1030,16294
21,Saint Cloud State University,48.5,1,1010,17050
24,Southwest Minnesota State University,39.5,1,1010,18102
28,University of Minnesota-Crookston,46.4,1,1010,19897
29,University of Minnesota-Duluth,54.8,1,1110,21404
30,University of Minnesota-Morris,60.3,1,1165,21722
31,University of Minnesota-Twin Cities,70.2,1,1245,23058
33,Winona State University,54,1,1070,19670
