id,name,gradRate,sat,tuition,sector
1,Augsburg College,65.2,1030,39294,Private
2,Bemidji State University,42.3,1010,18057,Public
3,Bethany Lutheran College,52.6,1065,30480,Private
4,"Bethel University, Saint Paul, MN",73.3,1145,39400,Private
5,Carleton College,92.6,1400,54265,Private
6,College of Saint Benedict,81.1,1185,43198,Private
7,Concordia College at Moorhead,69.4,1145,36590,Private
8,Concordia University-Saint Paul,47.9,990,37795,Private
9,Crossroads College,26.9,970,25345,Private
10,Crown College,51.3,1030,33210,Private
11,Gustavus Adolphus College,81.7,1225,43800,Private
12,Hamline University,67.8,1090,41085,Private
13,Macalester College,87.2,1355,50984,Private
14,Martin Luther College,72.8,1125,19450,Private
15,Minneapolis College of Art and Design,69.6,1105,41420,Private
16,Minnesota State University Moorhead,44.7,1030,16800,Public
17,Minnesota State University-Mankato,49.6,1030,16294,Public
18,North Central University,40.4,1010,25698,Private
19,"Northwestern College, Saint Paul, MN",63.6,1105,35400,Private
20,Oak Hills Christian College,27.3,890,24805,Private
21,Saint Cloud State University,48.5,1010,17050,Public
22,Saint Johns University,79.9,1185,41920,Private
23,Saint Mary's University of Minnesota,62.4,1070,35700,Private
24,Southwest Minnesota State University,39.5,1010,18102,Public
25,St Catherine University,65.4,1050,41876,Private
26,St Olaf College,84.9,1285,47200,Private
27,The College of Saint Scholastica,63.5,1030,38756,Private
28,University of Minnesota-Crookston,46.4,1010,19897,Public
29,University of Minnesota-Duluth,54.8,1110,21404,Public
30,University of Minnesota-Morris,60.3,1165,21722,Public
31,University of Minnesota-Twin Cities,70.2,1245,23058,Public
32,"University of St Thomas, Saint Paul, MN",74.3,1165,44630,Private
33,Winona State University,54,1070,19670,Public
