"title","budget","age","mpaa"
"'Til There Was You",23000000,19,"PG-13"
"10 Things I Hate About You",16000000,17,"PG-13"
"100 Mile Rule",1100000,14,"R"
"13 Going On 30",37000000,12,"PG-13"
"13th Warrior, The",85000000,17,"R"
"15 Minutes",42000000,15,"R"
"1776",4000000,44,"PG"
"2 Fast 2 Furious",76000000,13,"PG-13"
"20 Dates",60000,18,"R"
"200 Cigarettes",6000000,17,"R"
"2001: A Space Travesty",26000000,16,"R"
"2046",12000000,12,"R"
"21 Grams",20000000,13,"R"
"24 Hour Woman, The",2500000,17,"R"
"25th Hour",15000000,14,"R"
"28 Days",43000000,16,"PG-13"
"28 Days Later...",8000000,14,"R"
"3000 Miles to Graceland",62000000,15,"R"
"40 Days and 40 Nights",17000000,14,"R"
"50 First Dates",75000000,12,"PG-13"
"51st State, The",28000000,15,"R"
"54",13000000,18,"R"
"6th Day, The",82000000,16,"PG-13"
"8 Mile",41000000,14,"R"
"8MM",40000000,17,"R"
"AVP: Alien Vs. Predator",45000000,12,"PG-13"
"Abandon",25000000,14,"PG-13"
"About Schmidt",30000000,14,"R"
"About a Boy",27000000,14,"PG-13"
"Absolon",8000000,13,"R"
"Absolute Power",50000000,19,"R"
"Abyss, The",69500000,27,"PG-13"
"Ace Ventura: Pet Detective",12000000,22,"PG-13"
"Ace Ventura: When Nature Calls",30000000,21,"PG-13"
"Adaptation.",19000000,14,"R"
"Adventures of Pluto Nash, The",100000000,14,"PG-13"
"Adventures of Robin Hood, The",1900000,78,"PG"
"Adventures of Rocky & Bullwinkle, The",76000000,16,"PG"
"Affliction",6000000,19,"R"
"After Image",1200000,15,"R"
"After the Sunset",58000000,12,"PG-13"
"Agent Cody Banks",26000000,13,"PG"
"Agent Cody Banks 2: Destination London",26000000,12,"PG"
"Air Bud",3000000,19,"PG"
"Air Force One",85000000,19,"R"
"Air Marshal",500000,13,"R"
"Alamo, The",95000000,12,"PG-13"
"Alan Smithee Film: Burn Hollywood Burn, An",10000000,19,"R"
"Albino Alligator",5000000,20,"R"
"Alexander",150000000,12,"R"
"Alferd Packer: The Musical",125000,20,"R"
"Alfie",60000000,12,"R"
"Ali",107000000,15,"R"
"Alien",11000000,37,"R"
"Alien Abduction",600000,11,"R"
"Alien Escape",1000000,19,"R"
"Alien: Resurrection",70000000,19,"R"
"Aliens",18500000,30,"R"
"All About the Benjamins",14000000,14,"R"
"All the Pretty Horses",45000000,16,"PG-13"
"All the Queen's Men",25000000,15,"PG-13"
"All the Real Girls",1000000,13,"R"
"Almost Famous",60000000,16,"R"
"Alone in the Dark",20000000,11,"R"
"Along Came Polly",42000000,12,"PG-13"
"Along Came a Spider",28000000,15,"R"
"Amadeus",18000000,32,"R"
"America's Sweethearts",48000000,15,"PG-13"
"American Beauty",15000000,17,"R"
"American History X",10000000,18,"R"
"American Outlaws",35000000,15,"PG-13"
"American Pie",11000000,17,"R"
"American Pie 2",30000000,15,"R"
"American President, The",62000000,21,"PG-13"
"American Psycho",8000000,16,"R"
"American Wedding",55000000,13,"R"
"American Werewolf in Paris, An",22000000,19,"R"
"Amistad",40000000,19,"R"
"Amityville Horror, The",18000000,11,"R"
"Amores perros",2000000,16,"R"
"Anacondas: The Hunt for the Blood Orchid",25000000,12,"PG-13"
"Analyze This",30000000,17,"R"
"Anchorman: The Legend of Ron Burgundy",26000000,12,"PG-13"
"Angel Eyes",38000000,15,"R"
"Anger Management",75000000,13,"PG-13"
"Animal, The",22000000,15,"R"
"Animatrix: Final Flight of the Osiris, The",5000000,13,"PG-13"
"Anna and the King",75000000,17,"PG-13"
"Antitrust",30000000,15,"PG-13"
"Antwone Fisher",12500000,14,"PG-13"
"Antz",60000000,18,"PG"
"Any Given Sunday",62000000,17,"R"
"Anything Else",18000000,13,"R"
"Anywhere But Here",23000000,17,"PG-13"
"Apocalypse Now",31500000,37,"R"
"Apollo 13",62000000,21,"PG"
"Apostle, The",5000000,19,"PG-13"
"Apt Pupil",14000000,18,"R"
"Are We There Yet?",32000000,11,"PG"
"Arlington Road",21500000,17,"R"
"Armageddon",140000000,18,"PG-13"
"Army of Darkness",11000000,23,"R"
"Around the Fire",1200000,17,"R"
"Around the World in 80 Days",110000000,12,"PG"
"Artificial Intelligence: AI",90000000,15,"PG-13"
"As Good as It Gets",50000000,19,"PG-13"
"Assassins",50000000,21,"R"
"Assault on Precinct 13",20000000,11,"R"
"Astronaut's Wife, The",34000000,17,"R"
"At First Sight",40000000,17,"PG-13"
"Atlantis: The Lost Empire",90000000,15,"PG"
"Attic Expeditions, The",1000000,15,"R"
"Austin Powers in Goldmember",63000000,14,"PG-13"
"Austin Powers: International Man of Mystery",17000000,19,"PG-13"
"Austin Powers: The Spy Who Shagged Me",33000000,17,"PG-13"
"Auto Focus",7000000,14,"R"
"Autumn in New York",40000000,16,"PG-13"
"Avalon",8000000,15,"R"
"Avengers, The",60000000,18,"PG-13"
"Aviator, The",116000000,12,"PG-13"
"Awfully Big Adventure, An",4000000,21,"R"
"Baby Boy",16000000,15,"R"
"Baby Geniuses",13000000,17,"PG"
"Bachelor, The",21000000,17,"PG-13"
"Bad Boys",23000000,21,"R"
"Bad Boys II",130000000,13,"R"
"Bad Company",70000000,14,"PG-13"
"Bad Moon",7000000,20,"R"
"Bad Santa",18000000,13,"R"
"Badge, The",6000000,14,"R"
"Bait",35000000,16,"R"
"Ballad of Jack and Rose, The",1500000,11,"R"
"Ballistic: Ecks vs. Sever",70000000,14,"R"
"Bamboozled",10000000,16,"R"
"Bananas",2000000,45,"PG-13"
"Bandits",80000000,15,"PG-13"
"Banger Sisters, The",10000000,14,"R"
"Baptists at Our Barbecue",500000,12,"PG"
"Barbershop",12000000,14,"PG-13"
"Barbershop 2: Back in Business",18000000,12,"PG-13"
"Basic",50000000,13,"R"
"Basic Instinct",49000000,24,"R"
"Basil",10000000,18,"R"
"Basket, The",3000000,17,"PG"
"Batman & Robin",110000000,19,"PG-13"
"Batman Forever",100000000,21,"PG-13"
"Battle of Shaker Heights, The",1000000,13,"PG-13"
"Battlefield Earth: A Saga of the Year 3000",73000000,16,"PG-13"
"Be Cool",53000000,11,"PG-13"
"Beach, The",50000000,16,"R"
"Bean",22000000,19,"PG-13"
"Beautiful",9000000,16,"PG-13"
"Beautiful Country, The",6000000,12,"R"
"Beautiful Mind, A",60000000,15,"PG-13"
"Beavis and Butt-Head Do America",12000000,20,"PG-13"
"Because of Winn-Dixie",14000000,11,"PG"
"Bedazzled",48000000,16,"PG-13"
"Before Sunset",10000000,12,"R"
"Behind Enemy Lines",40000000,15,"PG-13"
"Being Julia",18000000,12,"R"
"Belly",10000000,18,"R"
"Belly of the Beast",18000000,13,"R"
"Beloved",53000000,18,"R"
"Beowulf",20000000,17,"R"
"Best Laid Plans",7000000,17,"R"
"Best in Show",6000000,16,"PG-13"
"Better Luck Tomorrow",250000,14,"R"
"Beyond Borders",35000000,13,"R"
"Beyond Rangoon",23000000,21,"R"
"Beyond Re-Animator",3000000,13,"R"
"Beyond the Mat",500000,17,"R"
"Beyond the Sea",24000000,12,"PG-13"
"Bicentennial Man",100000000,17,"PG"
"Big Bounce, The",50000000,12,"PG-13"
"Big Brass Ring, The",7000000,17,"R"
"Big Bully",15000000,20,"PG"
"Big Daddy",34200000,17,"PG-13"
"Big Fat Liar",15000000,14,"PG"
"Big Fish",70000000,13,"PG-13"
"Big Hit, The",13000000,18,"R"
"Big Lebowski, The",15000000,18,"R"
"Big Momma's House",30000000,16,"PG-13"
"Big Tease, The",4000000,17,"R"
"Big Trouble",40000000,14,"PG-13"
"Bigger Than the Sky",750000,11,"PG-13"
"Billy Elliot",5000000,16,"R"
"Birth",20000000,12,"R"
"Birthday Girl",13000000,15,"R"
"Black Hawk Down",90000000,15,"R"
"Black Knight",50000000,15,"PG-13"
"Black and White",10000000,17,"R"
"Blacktop",3500000,16,"R"
"Blade",45000000,18,"R"
"Blade II",55000000,14,"R"
"Blade: Trinity",65000000,12,"R"
"Blair Witch Project, The",35000,17,"R"
"Blast from the Past",35000000,17,"PG-13"
"Bless the Child",40000000,16,"R"
"Blind Horizon",5100000,13,"R"
"Blood Work",50000000,14,"R"
"Blood and Wine",26000000,20,"R"
"Blood, Guts, Bullets and Octane",7300,18,"R"
"Bloody Sunday",5000000,14,"R"
"Blow",30000000,15,"R"
"Blue Crush",30000000,14,"PG-13"
"Blue Hill Avenue",1200000,15,"R"
"Blues Brothers 2000",28000000,18,"PG-13"
"Boat Trip",20000000,14,"R"
"Body of Influence 2",1200000,20,"R"
"Bogus",32000000,20,"PG"
"Boiler Room",9000000,16,"R"
"Bon voyage",20000000,13,"PG-13"
"Bone Collector, The",48000000,17,"R"
"Bone Snatcher, The",6000000,13,"R"
"Bones",16000000,15,"R"
"Boogeyman",20000000,11,"PG-13"
"Boogie Nights",15000000,19,"R"
