year,quarter,approval,unemp,diffunemp,cpi,pcntcpi,ics,party,pcntgdp,incumbent,flag
1949,1,63,4.7,,23.943,,,1,-1.365892,1,
1949,2,54.5,5.9,1.2,23.917,-0.1085912,,1,-0.3337484,1,
1949,3,47,6.7,0.8,23.717,-0.8362253,,1,1.0995602,1,
1949,4,51,7,0.3,23.66,-0.2403339,,1,-0.8947993,1,
1950,1,41,6.4,-0.6,23.587,-0.3085376,,1,3.9856338,1,
1950,2,39,5.6,-0.8,23.767,0.7631322,,1,3.0221625,1,
1950,3,40.75,4.6,-1,24.203,1.8344764,,1,3.8554666,1,
1950,4,38,4.2,-0.4,24.693,2.0245424,,1,1.9279053,1,
1951,1,29.25,3.5,-0.7,25.697,4.0659296,,1,1.3679951,1,
1951,2,24.33,3.1,-0.4,25.947,0.9728762,,1,1.7357344,1,
1951,3,30.67,3.2,0.1,25.933,-0.0539561,,1,2.0601408,1,
1951,4,26,3.4,0.2,26.317,1.4807388,,1,0.2214978,1,
1952,1,23.33,3.1,-0.3,26.417,0.3799825,,1,1.0591718,1,
1952,2,29.5,3,-0.1,26.487,0.2649809,,1,0.2063132,1,
1952,3,29,3.2,0.2,26.667,0.6795787,,1,0.7247272,1,
1952,4,32.33,2.8,-0.4,26.697,0.1124986,,1,3.2827767,1,
1953,1,69.33,2.7,-0.1,26.62,-0.2884219,,0,1.8603547,0,
1953,2,73,2.6,-0.1,26.72,0.3756574,,0,0.7810678,0,
1953,3,69.25,2.7,0.1,26.843,0.4603293,,0,-0.5629458,0,
1953,4,63.25,3.7,1,26.89,0.1750922,,0,-1.5161503,0,
1954,1,68.5,5.3,1.6,26.953,0.2342878,,0,-0.4646035,0,
1954,2,63.25,5.8,0.5,26.91,-0.159537,,0,0.1068038,0,
1954,3,67,6,0.2,26.84,-0.2601263,,0,1.1340736,0,
1954,4,62.67,5.3,-0.7,26.757,-0.3092399,,0,1.9496757,0,
1955,1,69.5,4.7,-0.6,26.793,0.1345442,,0,2.8551719,0,
1955,2,68.75,4.4,-0.3,26.757,-0.1343635,,0,1.6282882,0,
1955,3,72.5,4.1,-0.3,26.777,0.0747468,,0,1.3418882,0,
1955,4,74.33,4.2,0.1,26.857,0.2987639,,0,0.604175,0,
1956,1,74.4,4,-0.2,26.86,0.0111703,,0,-0.3883774,0,
1956,2,70.5,4.2,0.2,27.037,0.6589724,,0,0.8267148,0,
1956,3,69,4.1,-0.1,27.317,1.0356179,,0,-0.0823517,0,
1956,4,76.5,4.1,0,27.55,0.8529487,,0,1.6340572,0,
1957,1,70.75,3.9,-0.2,27.777,0.8239564,,0,0.6452295,1,
1957,2,64,4.1,0.2,28.013,0.8496238,,0,-0.2207042,1,
1957,3,61.75,4.2,0.1,28.263,0.8924428,,0,0.9725441,1,
1957,4,57.5,4.9,0.7,28.4,0.4847327,,0,-1.0257658,1,
1958,1,54.4,6.3,1.4,28.737,1.1866197,,0,-2.5892355,1,
1958,2,53.67,7.4,1.1,28.93,0.671608,,0,0.6563999,1,
1958,3,55.4,7.3,-0.1,28.913,-0.0587625,,0,2.3146655,1,
1958,4,55.33,6.4,-0.9,28.943,0.1037596,,0,2.3393451,1,
1959,1,58,5.8,-0.6,28.993,0.1727533,,0,1.8581254,1,
1959,2,62,5.1,-0.7,29.043,0.1724554,,0,2.4323053,1,
1959,3,65,5.3,0.2,29.193,0.5164756,,0,-0.1935061,1,
1959,4,69,5.6,0.3,29.37,0.6063097,,0,0.3943347,1,
1960,1,65,5.1,-0.5,29.397,0.0919305,100,0,2.2290596,1,
1960,2,61.25,5.2,0.1,29.573,0.5987005,93.3,0,-0.3810195,1,
1960,3,59.83,5.5,0.3,29.59,0.0574849,97.2,0,0.2506991,1,
1960,4,59,6.3,0.8,29.78,0.6421088,90.1,0,-1.211888,1,
1961,1,72.5,6.8,0.5,29.84,0.2014775,91.6,1,0.6815305,0,
1961,2,76.5,7,0.2,29.83,-0.0335121,92.5,1,1.856687,0,
1961,3,76.67,6.8,-0.2,29.947,0.3922226,99.2,1,1.6677743,0,
1961,4,78,6.2,-0.6,29.99,0.143587,93,1,2.0263961,0,
1962,1,79,5.6,-0.6,30.107,0.39013,99.9,1,1.8030936,0,
1962,2,73,5.5,-0.1,30.22,0.375328,95.4,1,1.0758811,0,
1962,3,65.67,5.6,0.1,30.307,0.2878888,91.6,1,0.9517597,0,
1962,4,70.67,5.5,-0.1,30.38,0.2408684,95,1,0.387688,0,
1963,1,70.33,5.8,0.3,30.477,0.319289,98.4,1,1.114687,0,
1963,2,63.8,5.7,-0.1,30.533,0.1837451,91.7,1,1.3020457,0,
1963,3,60,5.5,-0.2,30.72,0.6124521,96.4,1,1.9536717,0,
1963,4,67,5.6,0.1,30.803,0.2701823,94.4,1,0.7143858,0,
1964,1,76.83,5.5,-0.1,30.93,0.4122975,99.5,1,2.1613352,0,
1964,2,74.33,5.2,-0.3,30.98,0.1616554,98.5,1,1.1898603,0,
1964,3,75.5,5,-0.2,31.05,0.2259522,100.6,1,1.3588419,0,
1964,4,69.5,5,0,31.193,0.4605475,99.9,1,0.3530755,0,
1965,1,69.4,4.9,-0.1,31.29,0.3109672,102,1,2.4681234,0,
1965,2,67.2,4.7,-0.2,31.49,0.6391818,105.4,1,1.3656899,0,
1965,3,64.5,4.4,-0.3,31.583,0.2953319,103.4,1,2.0323961,0,
1965,4,64,4.1,-0.3,31.75,0.5287655,102.9,1,2.3563477,0,
1966,1,58,3.9,-0.2,32.047,0.9354331,100,1,2.4703702,0,
1966,2,49.75,3.8,-0.1,32.337,0.9049209,95.7,1,0.4093386,0,
1966,3,50,3.8,0,32.617,0.8658812,91.2,1,0.7134223,0,
1966,4,48,3.7,-0.1,32.883,0.8155256,88.3,1,0.8566318,0,
1967,1,45.8,3.8,0.1,32.967,0.2554511,94.1,1,0.9170245,0,
1967,2,47.25,3.8,0,33.167,0.6066673,95.9,1,0.0878633,0,
1967,3,41,3.8,0,33.5,1.00401,97,1,0.8640007,0,
1967,4,41.75,3.9,0.1,33.867,1.0955224,92.9,1,0.8039211,0,
1968,1,41.75,3.7,-0.2,34.2,0.983258,97.2,1,2.0312642,0,
1968,2,43.8,3.6,-0.1,34.533,0.9736842,92.4,1,1.6879704,0,
1968,3,39,3.5,-0.1,35,1.3523297,92.4,1,0.72048,0,
1968,4,43.5,3.4,-0.1,35.433,1.2371429,91.7,1,0.44572,0,
1969,1,59.2,3.4,0,35.867,1.2248469,98.2,0,1.5541798,0,
1969,2,62.4,3.4,0,36.433,1.5780522,91.5,0,0.3218518,0,
1969,3,60.2,3.6,0.2,36.933,1.3723822,86.4,0,0.6246415,0,
1969,4,60,3.6,0,37.5,1.5352124,79.7,0,-0.434957,0,
1970,1,58.5,4.2,0.6,38.1,1.6,78.1,0,-0.1781359,0,
1970,2,56.5,4.8,0.6,38.633,1.3989501,75.4,0,0.1763294,0,
1970,3,55.8,5.2,0.4,39.033,1.0353843,77.6,0,0.8864571,0,
1970,4,55.67,5.8,0.6,39.6,1.452617,72.4,0,-1.0279156,0,
1971,1,51.33,5.9,0.1,39.933,0.8409091,78.1,0,2.6761251,0,
1971,2,49,5.9,0,40.3,0.9190394,80.2,0,0.5709203,0,
1971,3,49.5,6,0.1,40.7,0.9925558,82.1,0,0.7836443,0,
1971,4,50.33,5.9,-0.1,41,0.7371007,82,0,0.2918367,0,
1972,1,52.75,5.8,-0.1,41.333,0.8121951,92.8,0,1.7927273,0,
1972,2,58,5.7,-0.1,41.6,0.645973,88.6,0,2.3168879,0,
1972,3,59,5.6,-0.1,41.933,0.8004808,95.2,0,0.9202274,0,
1972,4,60.5,5.4,-0.2,42.367,1.0349844,90.7,0,1.6610524,0,
1973,1,60.25,4.9,-0.5,43.033,1.5719782,81.9,0,2.4622943,0,
1973,2,46.33,4.9,0,43.933,2.0914182,77,0,1.1337236,0,
1973,3,34.6,4.8,-0.1,44.8,1.9734596,72,0,-0.5439677,0,
1973,4,28.8,4.8,0,45.933,2.5290179,76.5,0,0.9331288,0,
1974,1,25.86,5.1,0.3,47.3,2.9760738,61.8,0,-0.8311365,0,
1974,2,26,5.2,0.1,48.567,2.6786469,72.1,0,0.2639838,0,
1974,3,47,5.6,0.4,49.933,2.8126094,64.4,0,-0.9684606,0,
1974,4,48.4,6.6,1,51.467,3.0721166,59.5,0,-0.3997248,0,
1975,1,38,8.3,1.7,52.567,2.1372919,57.6,0,-1.2095871,0,
1975,2,45.2,8.9,0.6,53.2,1.2041775,72.8,0,0.7709168,0,
1975,3,45.33,8.5,-0.4,54.267,2.0056391,75.7,0,1.6537913,0,
1975,4,44,8.3,-0.2,55.267,1.8427405,75.6,0,1.3465157,0,
1976,1,47,7.7,-0.6,55.9,1.1453489,84.6,0,2.2586634,0,
1976,2,46.67,7.6,-0.1,56.4,0.8944544,83.3,0,0.7564297,0,
1976,3,49,7.7,0.1,57.3,1.5957447,89.7,0,0.508744,0,
1976,4,53,7.8,0.1,58.133,1.4537522,87,0,0.7504657,0,
1977,1,70.8,7.5,-0.3,59.2,1.8354463,87.1,1,1.1635412,0,
1977,2,64.14,7.1,-0.4,60.233,1.7449324,90.2,1,1.9623396,0,
1977,3,61.33,6.9,-0.2,61.067,1.384623,89,1,1.7689836,0,
1977,4,54.67,6.7,-0.2,61.967,1.4737911,84.4,1,0.00997075,0,
1978,1,50.14,6.3,-0.4,63.033,1.7202705,82.6,1,0.3489415,0,
1978,2,41.83,6,-0.3,64.467,2.2749988,81.8,1,3.8879322,0,
1978,3,42,6,0,65.967,2.3267718,80,1,0.9770481,0,
1978,4,50.5,5.9,-0.1,67.5,2.3238892,73.8,1,1.3416886,0,
1979,1,42.86,5.9,0,69.2,2.5185185,71.9,1,0.1978101,0,
1979,2,32.5,5.7,-0.2,71.4,3.1791908,66.7,1,0.1212498,0,
1979,3,33.14,5.9,0.2,73.7,3.2212885,63.7,1,0.7188548,0,
1979,4,39.17,6,0.1,76.033,3.165536,62.3,1,0.2589755,0,
1980,1,50.5,6.3,0.3,79.033,3.9456552,63.9,1,0.3228832,0,
1980,2,36.83,7.3,1,81.7,3.3745397,54.4,1,-2.0276173,0,
1980,3,34,7.7,0.4,83.233,1.876377,67.8,1,-0.1517379,0,
1980,4,32.5,7.4,-0.3,85.567,2.8041762,72,1,1.8533895,0,
1981,1,55.33,7.4,0,87.933,2.7650847,68.3,0,2.0688488,0,0
1981,2,63,7.4,0,89.767,2.0856789,73.9,0,-0.729388,0,0
1981,3,57.6,7.4,0,92.267,2.7849878,74.8,0,1.1476629,0,0
1981,4,52.2,8.2,0.8,93.767,1.6257167,65.7,0,-1.1676597,0,0
1982,1,47.25,8.8,0.6,94.6,0.8883722,66.6,0,-1.6719564,0,0
1982,2,44.33,9.4,0.6,95.967,1.4450317,66.2,0,0.5436293,0,0
1982,3,41.6,9.9,0.5,97.633,1.7360134,66.7,0,-0.359436,0,0
1982,4,42.25,10.7,0.8,97.933,0.3072732,72.5,0,0.0971203,0,0
1983,1,38,10.4,-0.3,98,0.0684141,75,0,1.310622,0,0
1983,2,43.83,10.1,-0.3,99.133,1.1561224,91.5,0,2.2817792,0,0
1983,3,44.43,9.4,-0.7,100.1,0.9754572,91.2,0,1.9574038,0,0
1983,4,50.25,8.5,-0.9,101.1,0.999001,91.6,0,2.0626822,0,0
1984,1,54,7.9,-0.6,102.533,1.4174085,99.5,0,1.9867171,0,0
1984,2,53.67,7.4,-0.5,103.5,0.943111,96.6,0,1.7561549,0,0
1984,3,54.71,7.4,0,104.4,0.8695652,98.9,0,0.9840352,0,0
1984,4,60,7.3,-0.1,105.3,0.862069,95,0,0.7972743,0,0
1985,1,60.5,7.2,-0.1,106.267,0.9183286,94.5,0,0.9937804,1,0
