education,income,seniority,gender,male,party
8,37449,7,male,1,Democrat
8,26430,9,female,0,Independent
10,47034,14,male,1,Democrat
10,34182,16,female,0,Independent
10,25479,1,female,0,Republican
12,46488,11,female,0,Democrat
12,37656,14,male,1,Democrat
12,50265,24,male,1,Democrat
12,52480,16,female,0,Independent
14,32631,5,female,0,Independent
14,49968,18,male,1,Independent
14,64926,26,male,1,Independent
15,37302,8,female,0,Democrat
16,55782,6,male,1,Democrat
16,63471,10,male,1,Democrat
16,38586,11,female,0,Independent
16,55878,22,female,0,Independent
16,59499,20,female,0,Independent
17,60068,10,female,0,Independent
18,54840,20,female,0,Republican
18,62466,16,female,0,Republican
19,56019,21,female,0,Independent
19,65142,16,male,1,Republican
20,56343,22,female,0,Independent
20,54672,12,female,0,Independent
20,61629,5,male,1,Republican
20,82726,23,male,1,Republican
21,71202,26,female,0,Democrat
21,73542,16,male,1,Republican
22,56322,8,female,0,Independent
22,70044,14,male,1,Independent
24,79227,27,male,1,Democrat
