title,series_name,date_aired,engagement,caught_by,imdb_rating,format,catchphrase,shaggy_scooby,fred_daphne_velma,other,combo,tv
What a Night for a Knight,"Scooby Doo, Where Are You!",9/13/69,6.320768294,Shaggy/Scooby,8.1,TV,3,1,0,0,0,1
A Clue for Scooby Doo,"Scooby Doo, Where Are You!",9/20/69,6.171700597,Shaggy/Scooby,8.1,TV,4,1,0,0,0,1
Hassle in the Castle,"Scooby Doo, Where Are You!",9/27/69,6.120297419,Shaggy/Scooby,8,TV,3,1,0,0,0,1
Mine Your Own Business,"Scooby Doo, Where Are You!",10/4/69,6.054439346,Fred/Daphne/Velma,7.8,TV,3,0,1,0,0,1
Decoy for a Dognapper,"Scooby Doo, Where Are You!",10/11/69,5.96870756,Shaggy/Scooby,7.5,TV,2,1,0,0,0,1
What the Hex Going On?,"Scooby Doo, Where Are You!",10/18/69,5.950642553,Fred/Daphne/Velma,8.4,TV,4,0,1,0,0,1
Never Ape an Ape Man,"Scooby Doo, Where Are You!",10/25/69,5.880532986,Fred/Daphne/Velma,7.6,TV,3,0,1,0,0,1
The Backstage Rage,"Scooby Doo, Where Are You!",11/8/69,5.916202063,Shaggy/Scooby,8.1,TV,1,1,0,0,0,1
Bedlam in the Big Top,"Scooby Doo, Where Are You!",11/15/69,5.846438775,Shaggy/Scooby,8,TV,2,1,0,0,0,1
A Gaggle of Galloping Ghosts,"Scooby Doo, Where Are You!",11/22/69,5.937536205,Shaggy/Scooby,8.5,TV,2,1,0,0,0,1
"Scooby-Doo and a Mummy, Too","Scooby Doo, Where Are You!",11/29/69,5.880532986,Shaggy/Scooby,8.2,TV,10,1,0,0,0,1
Which Witch is Which,"Scooby Doo, Where Are You!",12/6/69,5.874930731,Fred/Daphne/Velma,8.4,TV,3,0,1,0,0,1
Go Away Ghost Ship,"Scooby Doo, Where Are You!",12/13/69,5.802118375,Shaggy/Scooby,8.1,TV,6,1,0,0,0,1
Spooky Space Kook,"Scooby Doo, Where Are You!",12/20/69,5.918893854,Fred/Daphne/Velma,8.4,TV,8,0,1,0,0,1
A Night of Fright Is No Delight,"Scooby Doo, Where Are You!",1/10/70,5.998936562,Shaggy/Scooby,8.7,TV,3,1,0,0,0,1
That's Snow Ghost,"Scooby Doo, Where Are You!",1/17/70,5.793013608,Shaggy/Scooby,8,TV,5,1,0,0,0,1
Nowhere to Hyde,"Scooby Doo, Where Are You!",9/12/70,5.774551546,Fred/Daphne/Velma,8.3,TV,3,0,1,0,0,1
Mystery Mask Mix-Up,"Scooby Doo, Where Are You!",9/19/70,5.743003188,Fred/Daphne/Velma,7.8,TV,3,0,1,0,0,1
Scooby's Night with a Frozen Fright,"Scooby Doo, Where Are You!",9/26/70,5.707110265,Shaggy/Scooby,7.7,TV,7,1,0,0,0,1
"Jeepers, It's the Creeper","Scooby Doo, Where Are You!",10/3/70,5.84932478,Shaggy/Scooby,8.5,TV,8,1,0,0,0,1
Haunted House Hang-Up,"Scooby Doo, Where Are You!",10/10/70,5.713732806,Shaggy/Scooby,8.4,TV,0,1,0,0,0,1
A Tiki Scare Is No Fair,"Scooby Doo, Where Are You!",10/17/70,5.676753802,Shaggy/Scooby,7.9,TV,7,1,0,0,0,1
Who's Afraid of the Big Bad Werewolf?,"Scooby Doo, Where Are You!",10/24/70,5.676753802,Shaggy/Scooby,8.2,TV,0,1,0,0,0,1
Don't Fool with a Phantom,"Scooby Doo, Where Are You!",10/31/70,5.641907071,Fred/Daphne/Velma,7.9,TV,5,0,1,0,0,1
The Ghastly Ghost Town,The New Scooby-Doo Movies,9/9/72,4.927253685,Shaggy/Scooby,6.9,TV,2,1,0,0,0,1
The Dynamic Scooby-Doo Affair,The New Scooby-Doo Movies,9/16/72,5.446737372,Other,7.8,TV,10,0,0,1,0,1
Wednesday Is Missing,The New Scooby-Doo Movies,9/23/72,4.779123493,Fred/Daphne/Velma,7.9,TV,0,0,1,0,0,1
The Frickert Fracas,The New Scooby-Doo Movies,9/30/72,4.753590191,Fred/Daphne/Velma,7.9,TV,11,0,1,0,0,1
Guess Who's Knott Coming to Dinner?,The New Scooby-Doo Movies,10/7/72,4.709530201,Shaggy/Scooby,7.9,TV,0,1,0,0,0,1
A Good Medium Is Rare,The New Scooby-Doo Movies,10/14/72,4.477336814,Other,7.7,TV,4,0,0,1,0,1
Sandy Duncan's Jekyll and Hyde,The New Scooby-Doo Movies,10/21/72,4.49980967,Combo,7.8,TV,2,0,0,0,1,1
The Secret of Shark Island,The New Scooby-Doo Movies,10/28/72,4.691347882,Fred/Daphne/Velma,8.5,TV,2,0,1,0,0,1
The Spooky Fog of Juneberry,The New Scooby-Doo Movies,11/4/72,4.564348191,Shaggy/Scooby,7.7,TV,1,1,0,0,0,1
The Ghost of Bigfoot,The New Scooby-Doo Movies,11/11/72,4.770684624,Shaggy/Scooby,8.3,TV,1,1,0,0,0,1
The Ghost of the Red Baron,The New Scooby-Doo Movies,11/18/72,4.454347296,Fred/Daphne/Velma,7.6,TV,4,0,1,0,0,1
The Ghostly Creep from the Deep,The New Scooby-Doo Movies,11/25/72,4.49980967,Shaggy/Scooby,7.4,TV,4,1,0,0,0,1
The Phantom of the Country Music Hall,The New Scooby-Doo Movies,12/9/72,4.394449155,Fred/Daphne/Velma,7.6,TV,2,0,1,0,0,1
The Caped Crusader Caper,The New Scooby-Doo Movies,12/16/72,5.209486153,Shaggy/Scooby,7.2,TV,9,1,0,0,0,1
The Mystery of Haunted Island,The New Scooby-Doo Movies,9/8/73,4.634728988,Other,7.4,TV,0,0,0,1,0,1
The Haunted Showboat,The New Scooby-Doo Movies,9/15/73,4.406719247,Shaggy/Scooby,7.9,TV,1,1,0,0,0,1
The Spirited Spooked Sports Show,The New Scooby-Doo Movies,9/29/73,4.290459441,Combo,7.4,TV,0,0,0,0,1,1
The Weird Winds of Winona,The New Scooby-Doo Movies,10/13/73,4.510859507,Other,7.3,TV,1,0,0,1,0,1
The Haunted Candy Factory,The New Scooby-Doo Movies,10/20/73,4.644390899,Other,7.8,TV,2,0,0,1,0,1
The Haunted Carnival,The New Scooby-Doo Movies,10/27/73,4.521788577,Shaggy/Scooby,7.6,TV,1,1,0,0,0,1
High Rise Hair Raiser,The Scooby-Doo Show,9/11/76,4.718498871,Shaggy/Scooby,7.6,TV,8,1,0,0,0,1
The Fiesta Host is an Aztec Ghost,The Scooby-Doo Show,9/18/76,4.574710979,Combo,7.4,TV,9,0,0,0,1,1
The Gruesome Game of the Gator Ghoul,The Scooby-Doo Show,9/25/76,4.553876892,Fred/Daphne/Velma,7.5,TV,3,0,1,0,0,1
Whatta Shocking Ghost,The Scooby-Doo Show,10/2/76,4.615120517,Shaggy/Scooby,8,TV,9,1,0,0,0,1
The Headless Horseman of Halloween,The Scooby-Doo Show,10/9/76,4.844187086,Other,8,TV,10,0,0,1,0,1
Scared a Lot in Camelot,The Scooby-Doo Show,10/16/76,4.532599493,Shaggy/Scooby,7.6,TV,4,1,0,0,0,1
The No-Face Zombie Chase Case,The Scooby-Doo Show,10/30/76,4.510859507,Combo,7.7,TV,8,0,0,0,1,1
Mamba Wamba and the Voodoo Hoodoo,The Scooby-Doo Show,11/6/76,4.394449155,Fred/Daphne/Velma,7,TV,12,0,1,0,0,1
A Frightened Hound Meets Demons Underground,The Scooby-Doo Show,11/13/76,4.430816799,Shaggy/Scooby,7.4,TV,20,1,0,0,0,1
A Bum Steer for Scooby,The Scooby-Doo Show,11/20/76,4.430816799,Fred/Daphne/Velma,6.8,TV,11,0,1,0,0,1
There's a Demon Shark in the Foggy Dark,The Scooby-Doo Show,11/25/76,4.382026635,Fred/Daphne/Velma,7.2,TV,10,0,1,0,0,1
"Scooby-Doo, Where's the Crew?",The Scooby-Doo Show,11/27/76,4.343805422,Shaggy/Scooby,7.3,TV,7,1,0,0,0,1
The Ghost That Sacked the Quarterback,The Scooby-Doo Show,12/4/76,4.317488114,Shaggy/Scooby,6.8,TV,11,1,0,0,0,1
The Spirits of '76,The Scooby-Doo Show,12/18/76,4.394449155,Shaggy/Scooby,7.5,TV,5,1,0,0,0,1
Vampire Bats and Scaredy Cats,The Scooby-Doo Show,9/17/77,4.644390899,Shaggy/Scooby,8.2,TV,13,1,0,0,0,1
"Hang in There, Scooby-Doo",The Scooby-Doo Show,9/24/77,4.33073334,Shaggy/Scooby,7.4,TV,14,1,0,0,0,1
The Chiller Diller Movie Thriller,The Scooby-Doo Show,10/1/77,4.343805422,Combo,7.9,TV,14,0,0,0,1,1
The Spooky Case of the Grand Prix Race,The Scooby-Doo Show,10/8/77,4.317488114,Shaggy/Scooby,7.4,TV,18,1,0,0,0,1
The Creepy Heap from the Deep,The Scooby-Doo Show,10/29/77,4.262679877,Fred/Daphne/Velma,7.4,TV,13,0,1,0,0,1
Watch Out! The Willawa!,The Scooby-Doo Show,9/9/78,4.564348191,Shaggy/Scooby,7.5,TV,14,1,0,0,0,1
A Creepy Tangle in the Bermuda Triangle,The Scooby-Doo Show,9/16/78,4.615120517,Fred/Daphne/Velma,7.3,TV,13,0,1,0,0,1
A Scary Night with a Snow Beast Fright,The Scooby-Doo Show,9/23/78,4.584967479,Shaggy/Scooby,7.1,TV,17,1,0,0,0,1
The Tar Monster,The Scooby-Doo Show,10/7/78,4.521788577,Fred/Daphne/Velma,7.6,TV,21,0,1,0,0,1
A Highland Fling with a Monstrous Thing,The Scooby-Doo Show,10/14/78,4.49980967,Shaggy/Scooby,7.7,TV,13,1,0,0,0,1
The Creepy Case of Old Iron Face,The Scooby-Doo Show,10/21/78,4.382026635,Fred/Daphne/Velma,7.7,TV,19,0,1,0,0,1
"Jeepers, It's the Jaguaro!",The Scooby-Doo Show,10/28/78,4.510859507,Shaggy/Scooby,7.2,TV,18,1,0,0,0,1
Make a Beeline Away from that Feline,The Scooby-Doo Show,11/4/78,4.477336814,Shaggy/Scooby,8,TV,1,1,0,0,0,1
The Creepy Creature of Vulture's Claw,The Scooby-Doo Show,11/11/78,4.382026635,Shaggy/Scooby,7.5,TV,1,1,0,0,0,1
The Diabolical Disc Demon,The Scooby-Doo Show,11/18/78,4.430816799,Shaggy/Scooby,7.5,TV,3,1,0,0,0,1
A Menace in Venice,The Scooby-Doo Show,12/2/78,4.521788577,Shaggy/Scooby,7.5,TV,7,1,0,0,0,1
Don't Go Near the Fortress of Fear,The Scooby-Doo Show,12/9/78,4.418840608,Shaggy/Scooby,7.2,TV,6,1,0,0,0,1
The Warlock of Wimbledon,The Scooby-Doo Show,12/16/78,4.430816799,Shaggy/Scooby,6.8,TV,6,1,0,0,0,1
The Beast is Awake in Bottomless Lake,The Scooby-Doo Show,12/23/78,4.430816799,Shaggy/Scooby,7.1,TV,8,1,0,0,0,1
The Scarab Lives!,Scooby-Doo and Scrappy-Doo (first series),9/22/79,4.204692619,Shaggy/Scooby,7.6,TV,4,1,0,0,0,1
The Night Ghoul of Wonderworld,Scooby-Doo and Scrappy-Doo (first series),9/29/79,4.077537444,Shaggy/Scooby,7.6,TV,6,1,0,0,0,1
Strange Encounters of a Scooby Kind,Scooby-Doo and Scrappy-Doo (first series),10/6/79,3.988984047,Fred/Daphne/Velma,7.6,TV,12,0,1,0,0,1
The Neon Phantom of the Roller Disco!,Scooby-Doo and Scrappy-Doo (first series),10/13/79,4.007333185,Shaggy/Scooby,7.4,TV,8,1,0,0,0,1
"Shiver and Shake, That Demon's a Snake",Scooby-Doo and Scrappy-Doo (first series),10/20/79,3.931825633,Shaggy/Scooby,7.5,TV,5,1,0,0,0,1
The Scary Sky Skeleton,Scooby-Doo and Scrappy-Doo (first series),10/27/79,3.931825633,Other,7.4,TV,13,0,0,1,0,1
