major,income,women,stem_type
Aerospace Engineering,60,13.9792801,Engineering
Applied Mathematics,45,43.4298441,Mathematics
Architectural Engineering,54,35.0442478,Engineering
Architecture,40,45.1464886,Engineering
Astronomy And Astrophysics,62,53.5714286,Science
Atmospheric Sciences And Meteorology,35,32.1296067,Science
Biochemical Sciences,37.4,51.5406449,Science
Biological Engineering,57.1,32.0784314,Engineering
Biology,33.4,60.1858152,Science
Biomedical Engineering,60,43.7846874,Engineering
Botany,37,52.896915,Science
Chemical Engineering,65,34.1630502,Engineering
Chemistry,39,50.5140538,Science
Civil Engineering,50,22.7117943,Engineering
Cognitive Science And Biopsychology,41,56.486557,Science
Communication Disorders Sciences And Services,28,96.7998119,Science
Communication Technologies,35,36.6176878,Technology
Community And Public Health,34,79.2095262,Science
Computer Administration Management And Security,37.5,18.0882718,Technology
Computer And Information Systems,45,25.3583302,Technology
Computer Engineering,60,19.9412643,Engineering
Computer Networking And Telecommunications,36.4,30.5004597,Technology
Computer Programming And Data Processing,41.3,26.9193858,Technology
Computer Science,53,22.2695002,Technology
Ecology,33,57.6360061,Science
Electrical Engineering,60,19.6450256,Engineering
Electrical Engineering Technology,52,29.2607004,Engineering
Engineering And Industrial Management,44,17.4122505,Engineering
Engineering Mechanics Physics And Science,58,18.3985189,Engineering
Engineering Technologies,50,25.1388889,Engineering
Environmental Engineering,50,34.2228811,Engineering
Environmental Science,35.6,58.4556133,Science
General Engineering,56,25.2959838,Engineering
General Medical And Health Services,32.4,77.4576624,Science
Genetics,40,51.5543329,Science
Geological And Geophysical Engineering,50,32.2222222,Engineering
Geology And Earth Science,36.2,47.0196865,Science
Geosciences,36,59.1001011,Science
Health And Medical Administrative Services,35,76.4426528,Science
Health And Medical Preparatory Programs,33.5,56.6640502,Science
Industrial And Manufacturing Engineering,57,34.3473218,Engineering
Industrial Production Technologies,46,24.919024,Engineering
Information Sciences,45,24.4103081,Technology
Materials Engineering And Materials Science,52,32.5091881,Engineering
Materials Science,60,31.0820285,Engineering
Mathematics,45,44.8098678,Mathematics
Mathematics And Computer Science,42,17.8981938,Mathematics
Mechanical Engineering,60,11.9558903,Engineering
Mechanical Engineering Related Technologies,40,7.7453027,Engineering
Medical Assisting Services,42,92.7807246,Science
Medical Technologies Technicians,45,75.392736,Science
Metallurgical Engineering,73,15.3037383,Engineering
Microbiology,38,58.0948004,Science
Mining And Mineral Engineering,75,10.1851852,Engineering
Miscellaneous Biology,33.5,55.6603774,Science
Miscellaneous Engineering,50,18.9970437,Engineering
Miscellaneous Engineering Technologies,40,20.0022717,Engineering
Miscellaneous Health Medical Professions,36,88.1293889,Science
Molecular Biology,40,59.420765,Science
Multi-Disciplinary Or General Science,35,56.4639335,Science
Naval Architecture And Marine Engineering,70,10.7313196,Engineering
Neuroscience,35,63.814682,Science
Nuclear Engineering,65,14.4966965,Engineering
"Nuclear, Industrial Radiology, And Biological Technologies",46,75.047259,Science
Nursing,48,89.6018988,Science
Nutrition Sciences,35,86.4456079,Science
Oceanography,44.7,68.8999173,Science
Petroleum Engineering,110,12.0564344,Engineering
Pharmacology,45,70.7718502,Science
Pharmacy Pharmaceutical Sciences And Administration,40,63.0716318,Science
Physical Sciences,40,37.7437326,Science
Physics,45,28.1936407,Science
Physiology,35,61.8223028,Science
Statistics And Decision Science,45,52.6475764,Mathematics
Treatment Therapy Professions,33,72.1865913,Science
Zoology,26,63.7293376,Science
