id,expend,urban,region
404,427.45,1,Red River Delta
409,876.63,1,Red River Delta
509,854.11,1,Red River Delta
1206,1366.94,1,Red River Delta
1528,518.45,1,South East
1808,1027.99,1,South East
2104,241.89,1,South East
2107,760.29,1,South East
2218,182.1,1,South East
2302,514.48,1,South East
2315,355.44,1,South East
2316,383.66,1,South East
2404,290.29,1,South East
2525,806.75,1,South East
2527,1287.47,1,South East
2711,247.27,1,South East
2804,1186.1,1,South East
3014,404.98,1,South East
3111,249.64,1,South East
3224,726.91,1,South East
3304,644.01,1,South East
3603,232.88,1,South East
3706,631.37,1,South East
3814,425.46,1,South East
3822,1109.65,1,South East
3824,147.97,1,South East
4105,184.26,1,Northern Uplands
4203,419.56,1,Northern Uplands
4408,420.01,1,Northern Uplands
4516,284.58,1,Red River Delta
4711,197.67,1,Red River Delta
4720,225.53,1,Red River Delta
4811,602.43,1,Red River Delta
4902,135.94,1,Red River Delta
4915,385.9,1,Red River Delta
5022,97.31,1,Red River Delta
5222,166.69,1,Red River Delta
5315,483.12,1,North Coast
5404,323.74,1,North Coast
5505,406.18,1,North Coast
5507,215.53,1,North Coast
5606,219.43,1,North Coast
6109,316.46,1,Central Coast
6204,150.3,1,Central Coast
6306,848.88,1,Central Coast
6416,63.73,1,Central Coast
6620,790.35,1,South East
6821,154.48,1,South East
6822,266.63,1,South East
7007,238.61,1,Mekong Delta
7224,676.66,1,Mekong Delta
7308,456.32,1,Northern Uplands
7309,208.07,1,Northern Uplands
7409,261.1,1,Northern Uplands
7507,117.64,1,Northern Uplands
7517,298.21,1,Northern Uplands
7622,257.27,1,Northern Uplands
7908,250.15,1,Northern Uplands
7910,241.86,1,Northern Uplands
7919,331.58,1,Northern Uplands
8019,277.07,1,Northern Uplands
8407,233.17,1,Red River Delta
9216,181.53,1,Central Coast
9605,277.21,1,Central Coast
9617,336.57,1,Central Coast
9903,299.82,1,Central Coast
10221,315.02,1,South East
10301,171.27,1,Mekong Delta
10317,192.45,1,Mekong Delta
10406,172.26,1,Mekong Delta
10715,251.61,1,Mekong Delta
10719,76.42,1,Mekong Delta
10817,174.11,1,Mekong Delta
10901,193.59,1,Mekong Delta
10909,296.64,1,Mekong Delta
10913,240.04,1,Mekong Delta
11005,350.55,1,Mekong Delta
11015,507.63,1,Mekong Delta
11117,198.06,1,Mekong Delta
11211,278.25,1,Mekong Delta
11420,892.9,1,Mekong Delta
11505,137.34,1,Mekong Delta
